age,annual_income,monthly_debt,requested_loan,loan_term_months,max_loan,approved
45,28518,1014,3635,36,21528,1
66,21907,130,6546,48,31533,1
74,14862,307,9145,48,14914,0
64,25424,541,30455,36,24675,0
45,58844,868,21670,36,58523,1
49,52660,253,13764,60,89641,0
36,68306,1057,11895,36,64696,1
40,44038,223,8044,60,77802,1
65,20151,468,12686,24,12705,1
59,48078,757,6095,36,44864,1
43,34395,87,3969,60,57630,1
27,30574,392,13341,24,20119,1
69,64413,354,10051,48,89454,0
72,18330,984,24049,60,20500,0
41,22165,416,8547,36,17567,1
31,38656,424,8786,36,38417,1
41,36790,287,13031,48,51861,1
46,40600,495,8129,36,41029,1
38,56562,781,32976,48,71663,1
53,42205,35,9849,36,46208,0
48,24459,516,4896,36,21084,1
70,28745,744,11688,72,51431,1
73,16321,315,7607,48,21636,1
75,25049,221,26541,60,41886,1
58,65974,307,3958,12,22848,1
30,35289,306,6708,24,23833,1
27,60773,225,10391,72,90000,1
56,21700,358,11234,36,16880,1
26,61063,751,6389,48,76931,1
43,50518,657,11707,36,49024,1
22,28564,145,6179,24,17444,1
67,30096,452,9552,36,29174,0
58,56694,272,10928,60,90000,1
68,48499,438,11630,12,15583,1
47,46057,331,7411,72,90000,0
69,26396,239,24253,36,27741,1
54,20250,460,37832,24,13238,0
19,20430,709,15261,24,10331,0
20,53195,310,15123,24,37391,1
37,40008,123,9821,48,56266,0
44,22572,18,3136,48,35423,1
31,27810,47,13799,60,46935,0
62,40741,196,4864,60,70868,1
50,47192,291,3789,24,31685,0
46,64663,33,30218,12,27284,1
31,32095,550,9443,24,21280,1
27,34991,279,14287,24,20658,1
45,34814,849,8023,24,19360,0
21,49748,315,19327,48,66004,1
72,58624,378,20778,48,80739,1
40,18258,354,5252,12,7281,1
74,13838,764,38897,36,8865,0
36,25215,250,6628,36,26275,1
22,54267,300,7531,48,75570,0
53,39915,575,11973,24,25040,1
54,86886,478,20754,24,59469,0
55,69801,306,6348,36,74384,1
65,26754,422,15092,36,23254,1
73,35736,458,6309,12,11135,1
46,85743,284,6624,12,29605,1
46,27653,301,9556,48,38754,1
18,35390,1042,12825,60,47110,1
72,27168,480,11809,12,11084,1
32,33155,467,36080,36,35470,0
57,61915,1029,12186,60,90000,1
40,79816,916,24473,48,90000,1
49,28813,589,6343,24,21603,1
20,33587,986,5289,60,47945,1
58,80855,103,25115,60,90000,1
31,49708,654,18109,24,33761,1
60,34683,332,27988,72,68324,1
63,40102,686,6608,24,26316,1
59,42644,383,6584,48,55580,0
20,26860,896,10011,24,12349,0
21,16985,608,4536,48,17643,0
64,89808,296,9064,60,90000,1
59,15887,520,18883,36,16598,0
53,50964,542,26227,48,67483,1
24,32230,447,10904,72,61485,1
58,32947,957,15630,24,18777,1
51,24288,163,18223,36,21156,1
61,31126,319,20923,24,23442,1
50,14408,103,7919,72,30176,1
48,33286,146,3812,12,15746,0
26,20679,376,9686,48,23487,1
29,35857,648,10568,48,46323,1
38,19661,630,11469,48,22424,1
20,63095,551,9639,48,83558,1
64,15488,602,5171,36,12401,1
66,31260,307,18132,24,21630,1
47,54790,319,4238,24,37390,1
64,32954,957,7919,60,46883,1
38,29628,277,15396,36,30063,1
71,14327,69,5026,12,6951,1
21,21604,215,6817,60,37053,1
74,35426,56,7514,48,49126,1
19,28369,864,16379,36,25192,1
20,24813,209,4956,24,14209,1
62,42812,1451,11670,72,67880,0
39,30176,437,13445,24,19275,1
31,20314,155,12408,60,31965,1
20,18278,314,14519,60,25884,1
23,36872,445,16547,36,38506,1
43,27982,349,10542,72,55132,1
21,31339,40,26913,60,58311,1
60,16212,436,9795,36,12539,1
55,58701,271,5883,60,90000,0
55,27837,765,12542,48,28862,0
24,20226,311,2946,60,34100,0
57,26858,153,7823,36,27844,0
63,36890,1424,6745,36,26646,1
50,44728,827,13163,24,27530,1
71,23527,461,12892,72,43612,1
51,23080,249,4532,48,32162,1
47,40107,163,9958,48,58198,1
66,24122,511,11113,24,9135,0
28,38436,148,19598,36,38563,1
26,64134,419,5531,24,44062,1
56,20618,1112,6519,24,9561,0
56,70069,216,4726,72,90000,1
51,55660,754,14501,72,90000,1
42,50520,346,19852,48,67343,1
56,54357,796,6206,12,13234,1
34,58023,706,16127,36,59837,1
75,31350,453,8671,12,8377,0
29,59221,267,14696,60,90000,1
40,47171,1006,1838,36,42192,0
33,44954,509,16530,12,10862,1
44,34546,352,6188,48,46899,1
71,60102,1371,5711,36,53050,1
52,24595,492,13731,36,24464,1
66,17473,505,12219,60,23360,1
50,26386,139,19401,60,50633,1
24,51494,417,7017,24,33757,1
18,53260,1046,15394,24,31379,1
27,33982,282,12768,36,31629,1
74,24434,1230,14156,36,12655,0
23,58087,1512,18735,60,82603,1
49,53837,815,10583,72,90000,0
32,26676,231,6592,36,27064,1
41,50595,105,12901,24,34951,1
33,38899,533,2330,48,50722,1
62,39407,75,8315,24,28942,1
60,54612,202,33363,60,90000,1
66,62518,310,29588,36,67137,1
53,31302,550,13432,48,39346,1
30,58652,301,10852,12,20011,1
56,37391,217,9498,36,40823,1
49,28341,574,4445,24,13960,1
49,20497,436,6390,24,11459,1
54,43155,460,17099,24,28069,0
45,51728,491,17791,60,86623,1
59,44867,454,18890,36,44875,0
40,74162,271,9304,36,77240,1
24,35055,127,7589,36,36360,1
55,69564,209,2967,48,90000,1
61,30141,421,7519,24,21021,1
51,66662,621,12920,48,90000,1
40,42250,371,14703,48,56800,1
45,68558,346,4988,60,90000,0
73,22305,751,9706,60,25099,1
41,71482,176,12583,24,49168,1
55,35052,44,19111,12,11783,1
29,25391,160,7177,48,32923,1
18,31298,252,16631,60,53375,1
45,19211,246,17211,36,20156,1
59,20116,82,3223,60,36591,1
23,30060,173,7369,24,22636,1
57,23014,717,16004,36,18110,1
56,73999,538,12477,36,75474,1
49,73962,334,3489,24,53028,1
41,25669,256,14306,36,25124,1
28,65556,222,14822,72,90000,0
24,39469,670,14388,12,15763,0
26,30788,932,9588,24,18702,0
18,26417,284,11611,60,42210,1
47,41302,540,5423,72,80162,1
67,17540,236,8587,60,30258,1
67,36938,258,7663,24,24816,1
50,53054,530,6769,24,36287,1
23,46488,723,17951,48,57625,1
65,37900,177,15640,12,12446,1
57,58197,163,9653,48,82793,1
64,20719,634,16882,24,10892,0
37,46491,858,7083,36,41491,1
22,32137,450,13230,36,30232,1
31,80571,485,8990,60,90000,1
66,39966,1318,10376,48,41024,1
38,32995,330,4207,48,44014,0
47,15153,524,4115,12,4125,1
21,41419,335,5663,60,70340,1
29,32675,64,7137,36,33278,1
58,51728,424,10387,24,35830,1
37,47659,1074,8910,24,29891,1
71,38194,1141,5055,36,30496,1
58,31276,369,12296,24,19583,1
67,33490,579,4670,12,10983,1
43,33073,167,24503,60,56960,1
34,27662,92,20108,24,19828,0
65,64505,1125,15692,48,83557,1
46,35108,687,7189,48,40791,1
23,36840,1019,17267,24,16081,0
20,56851,483,8625,24,39396,1
62,53051,1760,27655,72,84486,1
58,41043,1758,12131,36,24781,0
41,31282,383,10893,60,52411,1
24,25625,126,23981,24,18508,1
53,40947,234,2472,36,45714,1
24,32046,218,12217,60,53794,1
64,35062,406,21238,36,34253,1
45,64315,147,2974,48,90000,1
61,24145,78,6205,60,42718,1
47,100690,1106,7628,24,63501,1
59,46731,249,27296,24,30490,0
28,32887,531,5296,48,42490,1
19,13000,224,3684,48,16276,0
61,27564,906,15969,48,26391,1
65,35997,56,11356,48,51559,1
26,16412,774,14234,24,6580,0
40,84150,1434,5170,24,51474,1
66,20225,91,11737,60,35977,0
55,13000,715,18669,36,10512,0
20,23681,199,33804,60,40368,1
63,35595,1613,13344,24,16323,0
74,38304,774,11699,60,55369,1
42,39199,64,17483,48,56084,1
39,32909,1156,3860,60,40829,1
46,31856,530,14055,24,21230,1
21,67426,95,9138,24,50475,1
33,40745,516,5089,60,68101,1
24,60663,386,9706,36,61821,1
24,18753,909,12000,24,8011,0
36,17083,247,10719,36,15445,1
52,19953,457,16173,72,38272,1
25,19750,273,15145,60,33193,1
64,22758,528,3113,48,23102,1
18,24085,199,4423,48,33303,1
18,21447,890,5673,36,15075,1
68,45847,1190,8991,24,24060,1
58,54903,632,7199,24,37321,1
68,27841,174,14106,24,19104,0
33,49818,316,10457,48,67192,1
33,60482,694,4193,36,60407,1
31,26553,1040,11898,48,23762,0
58,29728,413,8814,36,29299,1
66,39510,541,16930,60,64226,1
27,25562,685,8380,24,12223,0
40,32504,357,6901,12,10584,1
53,46298,277,15989,36,47884,1
44,53139,499,28151,60,89281,0
64,35760,486,10790,60,53877,1
71,43392,243,6902,36,45344,0
36,33498,1590,7329,48,30542,0
20,37954,1361,8973,36,29076,1
40,35422,1380,23768,24,17639,1
35,65189,480,7965,36,65169,1
36,62503,1444,12813,36,55094,1
39,35026,272,15553,24,24969,1
41,30061,262,3927,36,32729,1
64,23290,1818,12566,24,4214,0
61,53189,579,11425,48,69922,0
64,50430,557,20480,60,86375,1
22,24957,359,13693,12,10155,1
25,57041,858,3685,72,90000,1
27,44159,227,7116,60,77963,1
53,30572,318,11893,36,31896,1
22,54471,140,9738,12,18616,1
72,28092,129,13390,24,19544,1
39,64624,158,10998,36,66969,1
31,31106,875,17325,36,25325,0
18,33215,786,2915,60,47932,1
48,41661,1038,12218,48,51409,0
43,23236,350,24459,36,23396,0
42,35349,807,10848,12,11020,1
37,73050,168,6367,60,90000,1
40,23480,596,5738,24,12506,1
45,30151,194,15223,12,10006,1
35,20881,1072,10956,48,16019,1
28,54651,680,10300,36,52987,1
44,32128,566,11376,36,30134,1
66,92824,1297,7192,48,90000,1
64,44781,355,19778,72,90000,1
63,19698,642,9769,36,16574,1
71,52509,500,8087,48,66963,1
28,32057,135,4107,24,24482,1
23,74336,192,18917,60,90000,1
64,44286,755,6439,24,26422,1
32,28288,762,8182,48,31736,1
36,36401,606,6720,60,56578,1
60,26534,157,29657,48,35133,1
40,22934,1091,13051,24,10017,0
68,28983,272,7290,36,28501,1
41,34339,572,10986,60,52555,0
59,33382,134,8801,48,45937,1
50,79538,538,13396,60,90000,1
65,49663,127,13791,36,52745,1
48,40246,882,13232,36,34024,0
52,41339,619,5827,36,38285,0
36,46724,276,11635,36,49228,1
39,31870,1232,4011,24,15457,1
51,26431,1519,25309,36,15917,0
68,27453,480,6362,36,22624,1
36,31370,239,9192,48,44037,1
19,14642,470,5681,36,8179,0
42,15474,407,3751,12,1414,1
29,22780,377,6520,48,31630,1
36,38091,385,5049,24,26688,1
62,19431,504,9676,48,21300,1
24,26334,522,3603,48,29513,1
51,24803,472,15254,60,37206,0
75,50146,194,11946,36,50030,1
68,45738,221,24703,60,75743,1
20,34612,643,8987,12,10363,1
62,43328,401,7007,12,15966,0
53,30194,492,12670,36,26883,1
18,30265,554,5365,36,26711,1
38,31611,971,11523,36,27772,0
49,26457,331,8967,24,16908,0
46,34615,75,7232,24,21670,1
33,37236,438,7175,60,59507,0
33,21577,863,5040,60,27032,1
47,37467,113,8678,36,43510,1
68,101353,746,11430,12,36998,1
20,47792,2110,8635,24,20656,1
51,34925,562,5217,12,11499,1
29,37535,1455,6295,36,25682,1
52,68530,96,10343,24,50821,1
50,26970,85,9149,48,37010,1
70,17423,540,14404,48,20047,1
22,34810,312,17631,36,36648,1
61,27218,553,12331,36,25824,1
42,51449,555,19379,24,30794,1
31,93500,264,8841,24,65808,1
24,27842,378,11569,60,45572,1
59,23947,108,4662,36,25237,1
55,33229,1183,8252,12,7678,1
69,34982,481,12653,72,72041,0
36,22883,782,8736,48,24679,0
71,19363,349,16872,12,9787,1
37,35718,486,6611,60,58429,1
70,20289,696,11109,48,20442,1
56,55740,391,13625,24,38196,0
25,99322,609,12387,36,90000,1
33,46858,269,27399,24,32832,1
28,13492,525,5122,60,19559,1
39,51949,400,7122,60,85440,1
48,41495,436,22223,36,44386,1
57,40135,155,6460,24,26332,1
19,38594,1261,7926,36,29882,0
56,34278,539,5655,12,11465,1
33,38289,864,11570,36,33843,1
34,63690,102,2787,48,90000,1
26,32328,882,21123,72,56767,1
75,31787,525,14898,48,36964,1
56,37110,314,26283,36,35334,1
49,31754,154,6008,12,7922,1
51,37997,506,6336,60,61601,1
34,37101,893,10152,48,41723,1
37,42136,1524,4864,72,63191,1
32,46324,791,3379,36,44476,1
21,92222,268,6695,12,31327,1
61,46260,38,12278,48,67479,1
25,75602,306,7713,36,79571,1
18,39594,741,7818,24,21881,1
59,36989,136,23195,36,41538,1
73,30363,642,29134,60,45744,1
50,34440,624,5357,36,32699,1
65,22542,550,9196,12,8051,1
48,21795,423,7944,36,18476,1
69,45136,1036,24704,48,50912,1
41,32850,942,20961,48,32890,0
32,30415,199,15495,60,52591,0
41,25770,447,25909,48,34148,0
56,36241,160,14516,48,49412,1
53,48413,215,6665,24,33833,0
47,44451,560,5069,48,58593,1
70,29335,127,51310,12,7258,1
75,66901,394,10693,48,90000,1
55,29767,598,4736,36,29226,0
61,40302,41,35089,48,57468,1
31,70479,641,19771,72,90000,1
44,71142,355,22191,12,25919,1
20,18743,374,44745,60,26198,0
55,57091,84,7823,12,16196,1
20,43760,180,7697,48,58670,1
71,21263,989,6440,72,26567,0
49,25090,760,5399,72,44205,1
72,53210,329,4753,12,16110,1
21,33336,274,6891,60,56479,0
26,37527,582,8760,36,36718,1
20,48859,328,10008,48,68051,1
56,55329,733,4745,24,32871,1
39,73934,615,21680,48,90000,1
27,48856,477,18107,48,64470,1
44,53093,823,8957,24,34562,1
55,45061,413,3154,36,45591,1
21,35000,487,6601,36,31264,1
52,53409,233,3837,60,90000,1
23,35782,955,7429,24,20645,0
37,60388,641,6929,36,57634,1
30,36439,1298,6431,36,28044,1
48,21257,249,7950,36,20942,1
43,26835,908,7399,48,28013,1
47,17797,452,17030,36,15593,1
44,31364,641,12341,48,39322,1
59,38818,497,18816,24,26342,0
41,45753,179,7554,48,63851,1
46,54181,1063,14681,48,67916,1
50,28410,330,13281,36,26618,1
47,49749,1499,3726,60,64794,1
63,48444,887,10383,36,42301,1
36,48234,257,8983,36,50741,1
65,23233,710,22805,72,39477,0
26,29054,690,4852,36,25670,0
72,21308,1440,12809,36,10896,0
43,19428,477,4854,72,36643,1
25,41861,491,13907,72,80736,1
21,40495,479,11920,72,76356,1
46,21698,817,9782,72,29950,1
19,29011,874,12994,60,36976,1
21,35482,517,9744,36,32234,0
30,42057,402,13815,36,40458,1
40,43534,224,23976,60,72972,1
23,36059,2105,12647,24,14483,1
44,31167,580,7796,24,19633,1
43,39461,337,4879,60,67395,0
20,23470,336,10747,72,43660,1
37,42792,512,19229,36,42048,1
50,59918,242,14408,48,82615,1
21,23907,674,2673,72,39285,1
36,30763,665,15586,36,27078,1
67,50494,108,16018,24,39885,1
36,41754,136,33267,60,73165,1
71,37007,496,9394,36,34042,1
31,49059,177,13922,36,53188,1
74,29337,506,14015,36,26716,1
60,50958,80,11559,48,72770,1
24,40685,243,4505,36,42591,1
74,43870,58,16627,48,64983,1
71,45410,537,18187,36,45897,1
63,50148,198,11295,48,70641,1
61,45290,365,56247,36,43917,1
30,19261,526,3353,60,24873,1
28,28138,1223,18035,36,16923,1
19,18632,445,9510,48,18661,1
50,26858,326,7962,60,39046,1
30,22352,398,29098,36,23316,0
70,24867,329,3679,48,29929,1
70,43153,970,9302,36,37719,0
37,43733,803,16640,48,55770,1
27,53080,678,18506,36,48794,1
33,36692,184,4620,48,51254,1
60,43535,304,5788,48,57879,1
68,20419,161,11850,48,26417,1
40,19444,444,9795,36,20361,1
26,42018,252,9762,24,29054,0
65,78323,293,24602,72,90000,0
69,26861,621,9040,72,46004,0
38,21908,160,12710,72,44557,1
45,49062,1289,8763,36,41442,1
24,68043,1750,4513,48,73338,1
49,44833,98,30543,36,46183,1
24,27435,429,16496,24,19079,1
58,56736,855,16213,60,89384,1
29,38310,606,6667,36,34484,1
19,75078,534,41670,48,90000,1
33,64142,362,14644,24,44334,1
72,20587,885,12122,60,25404,0
21,26563,455,3059,36,23868,0
22,20978,145,5626,36,20912,1
19,17448,49,6641,72,36370,1
73,22203,232,18122,48,33103,1
38,45322,186,8852,36,45146,0
38,14445,669,11143,36,9613,0
23,34228,333,11689,36,33758,1
28,37417,339,24153,36,36464,1
33,52942,632,25193,36,49871,1
75,33575,882,17240,24,20897,1
20,32420,111,17767,48,43511,1
73,24916,505,43488,36,20014,1
54,27925,493,8348,60,44274,1
58,42678,565,12184,60,69627,1
61,44600,1766,15075,60,55807,1
44,67153,506,10513,60,90000,1
56,28593,65,4074,48,42498,1
18,48820,478,12835,36,48769,1
73,37588,178,6197,48,55389,1
46,38865,1115,9255,36,33857,1
20,62654,132,13973,24,41503,1
69,30803,339,14616,48,41169,1
66,56000,606,4639,60,88547,1
57,33644,667,10027,60,49399,0
19,19833,286,5292,24,10345,1
44,55110,419,8329,36,53078,1
30,20467,1268,9156,60,19780,0
22,25465,42,7935,36,27896,1
21,59417,1061,5338,48,69964,1
58,34396,199,15384,24,22920,1
22,44408,1168,15400,48,52048,1
27,75819,500,3556,12,26350,1
49,41496,180,7344,72,87235,1
22,101148,191,10467,60,90000,0
53,45290,464,22876,24,30557,1
45,47598,413,10861,48,62252,1
65,21736,201,9244,36,20493,1
22,27302,830,8626,48,31081,1
43,38734,874,5014,36,33530,1
34,33204,236,15759,48,46618,1
68,25925,720,9568,48,28875,1
34,39201,614,11841,36,38744,0
67,42222,141,6686,36,44919,1
51,36472,481,13150,48,43488,1
58,30991,475,19333,48,41287,1
30,45335,905,14936,60,67630,1
73,48955,1580,4391,60,65884,1
64,26039,1282,7650,48,20568,1
26,83704,1169,7712,36,80815,1
55,42788,262,16436,72,87673,1
66,14039,628,13757,60,15200,1
18,25758,458,10966,36,26492,1
36,25681,443,15454,48,31382,1
62,24053,220,19460,60,40826,1
67,23178,590,8763,24,15690,0
51,49818,1233,8616,72,83264,1
52,26392,1975,6857,60,18620,1
47,41568,114,5873,12,13080,1
29,41064,650,11862,36,35382,1
26,18443,379,22603,60,27458,0
56,34047,490,7008,24,20019,1
44,28749,1432,18278,48,24394,0
31,47324,458,7955,60,76488,0
25,25586,449,3796,48,30662,1
66,28703,358,5200,24,19322,1
55,43092,155,18113,48,61160,1
28,34899,921,11345,72,60071,1
60,50998,1295,15346,36,42131,1
19,30083,480,5648,60,45301,0
36,22449,186,15885,48,28522,1
54,42389,820,14653,60,62964,0
74,36957,536,7630,48,47109,1
73,58582,194,10158,12,24849,1
62,38347,580,9026,60,60817,1
37,24532,572,9583,24,11684,0
32,66986,213,9702,36,72102,1
27,51817,439,13049,48,73956,1
51,44997,263,5553,48,63223,1
41,45451,417,24625,36,49747,1
51,32541,134,6007,48,41975,1
36,13000,435,43507,36,12028,1
19,31466,316,3134,36,29253,1
48,27048,475,6240,72,48793,1
53,44823,197,8864,72,90000,1
45,36379,978,16454,24,19545,1
23,58195,197,4502,24,42630,1
42,43619,396,4484,36,43242,1
37,55208,54,7074,60,90000,1
18,23028,600,5864,48,25531,1
47,56062,91,13045,36,59819,1
42,38373,890,9100,48,42752,1
24,65960,379,7911,48,89850,0
69,51160,236,17717,48,71928,0
60,68490,59,14496,48,90000,1
23,69156,144,9415,24,50975,1
42,45518,412,16840,48,62004,1
73,20975,634,5692,36,15791,0
30,48234,496,34587,48,60985,1
32,24987,252,8009,60,40310,1
20,36223,425,25209,48,46473,1
75,49246,345,10528,48,62816,1
51,31108,498,3509,24,15984,1
48,26162,410,19241,36,22895,1
73,13000,675,12843,36,9876,0
73,37015,350,9691,48,48444,1
29,38704,480,4444,36,39278,1
52,17658,524,22589,36,13898,0
71,27240,242,18937,36,28029,0
18,24633,322,14135,36,24470,1
74,24617,157,2756,24,16933,1
51,44655,149,12917,12,17874,1
22,25155,952,21627,24,14264,1
42,53296,637,13845,60,90000,1
45,28242,175,14113,48,40525,1
20,31518,599,8905,72,53919,1
37,32527,463,7296,60,52306,1
18,20378,653,8014,24,8984,1
19,30223,264,19564,24,17420,1
65,67139,131,11214,24,49069,1
50,17319,334,5866,72,31209,1
36,22846,372,12289,36,21492,1
44,66353,266,10604,48,90000,1
68,31888,280,18490,12,10136,1
21,20968,46,10476,36,21227,1
26,90127,709,9343,36,87723,1
72,56074,310,8748,48,72058,0
23,25500,384,13069,36,25795,0
24,46247,1550,5609,48,52152,1
56,22540,545,11177,36,18301,1
36,23743,1763,5163,24,8238,1
69,41442,1249,8425,36,33670,1
40,44753,238,6305,36,45832,1
38,25412,362,11903,36,24059,1
32,63259,827,12609,36,61757,1
53,86980,254,14912,36,90000,1
50,32711,122,8479,48,43155,1
28,36440,232,17105,12,15140,1
22,33445,113,8527,12,9724,1
34,18472,865,7509,36,12585,0
57,21153,275,7815,60,34738,1
43,22964,553,14325,24,13389,0
55,63583,352,17246,48,84676,1
18,29306,223,26995,12,8710,1
68,41559,491,29125,48,54085,1
24,63066,553,35869,72,90000,1
23,46520,392,14329,48,60015,0
62,48810,545,16983,24,28886,1
71,29097,485,20221,12,11383,1
52,29357,175,10988,24,19989,1
40,27823,129,9332,12,11403,0
53,58000,1009,5433,36,51280,1
75,34699,161,19769,24,22312,1
33,58095,243,26286,24,38031,1
75,43176,437,6674,48,57382,1
40,26530,726,13345,48,30179,1
19,39341,493,14335,12,13194,1
70,28898,895,23599,12,9322,0
52,89667,195,6531,72,90000,1
21,38495,474,7373,24,21711,1
19,70335,225,8585,24,47852,1
34,40651,299,8583,36,43143,1
33,24222,676,12551,36,20670,1
20,65925,327,8298,60,90000,0
52,28872,198,7114,24,19572,1
20,17658,505,10167,36,14381,1
72,23658,418,7380,24,16780,0
43,28784,249,31387,12,7925,1
40,32597,461,14568,12,5244,1
24,28925,982,16784,60,36954,1
50,17948,59,7579,36,19467,1
38,44624,304,13293,48,59389,1
36,37266,1119,3731,24,22217,0
44,21130,274,8043,12,8975,1
