age,annual_income,monthly_debt,avg_monthly_balance,overdraft_usage,approved
55,33359,186,1502,0.119,1
61,26696,317,918,0.184,1
51,64299,425,1767,0.323,1
40,24175,682,1267,0.284,1
45,14275,55,548,0.165,1
73,27049,350,-29,0.329,0
41,25302,366,2040,0.382,0
55,30797,519,1996,0.347,1
29,18575,330,2068,0.576,1
18,34293,74,153,0.258,1
45,32154,597,-1341,0.0,0
59,27562,1012,1271,0.089,1
23,26626,295,1604,0.089,1
57,15220,755,1189,0.152,0
56,32481,323,702,0.389,0
49,25583,403,2805,0.294,1
41,24138,179,480,0.119,1
28,21134,911,122,0.168,1
24,25486,793,1281,0.25,1
26,24172,244,1758,0.006,1
18,22313,1141,-966,0.371,0
47,37810,306,2550,0.254,1
67,41321,536,3126,0.11,0
67,22401,474,1316,0.47,1
50,54446,727,467,0.203,1
23,18396,172,391,0.274,0
65,30365,1018,297,0.121,0
57,18881,215,1690,0.459,1
64,17010,272,1850,0.635,1
37,14912,306,1468,0.18,1
22,42379,868,-68,0.32,1
31,20804,33,1309,0.068,1
66,19462,442,-305,0.399,1
38,31113,60,1273,0.122,1
47,27543,137,825,0.194,1
21,40026,576,-888,0.409,1
29,23469,341,3757,0.522,1
58,21664,144,1886,0.076,1
37,22783,282,670,0.013,1
71,20749,756,1612,0.258,0
58,27414,222,2005,0.566,0
67,41311,874,335,0.083,0
43,11002,1105,1279,0.133,1
34,26140,1031,1711,0.066,1
65,82083,48,3350,0.092,1
46,23044,457,1493,0.0,1
23,30235,602,562,0.269,1
20,34419,423,1381,0.272,1
62,21356,902,997,0.039,1
58,33412,208,2615,0.091,0
41,43822,356,3097,0.549,1
24,21639,215,1455,0.128,1
53,33933,271,651,0.075,1
24,18549,708,1151,0.874,1
64,33288,296,1997,0.244,1
45,55371,98,1673,0.08,1
61,14243,867,472,0.438,1
47,23484,166,1780,0.093,1
59,30966,266,266,0.234,1
28,28519,634,1607,0.142,1
19,34073,173,2527,0.401,1
61,16904,175,708,0.077,1
65,17703,709,-666,0.59,1
26,21635,134,517,0.015,1
40,21722,37,1442,0.271,1
66,26812,183,1418,0.247,1
55,12752,277,314,0.345,0
20,42048,120,2348,0.295,1
63,24536,172,1401,0.052,0
74,56639,468,3107,0.248,1
42,16897,493,1284,0.011,0
39,41144,467,1883,0.361,1
46,23016,341,1132,0.263,1
21,26738,651,1681,0.034,0
33,17716,198,1995,0.149,1
24,26301,503,2287,0.107,1
24,17928,330,1155,0.163,1
36,19133,230,3252,0.108,1
52,37638,94,1262,0.116,1
25,60990,220,2849,0.239,1
64,39243,281,3413,0.115,0
18,19040,753,1223,0.55,1
18,69522,851,3299,0.373,1
68,37552,507,528,0.288,0
58,29648,221,1105,0.028,1
68,56845,234,2150,0.274,1
33,24712,732,1208,0.125,0
33,18724,282,93,0.146,1
31,15864,709,498,0.336,1
58,28350,308,1538,0.058,1
66,42024,227,2659,0.0,1
27,22609,425,1268,0.0,1
40,28010,494,752,0.242,0
53,10115,833,1066,0.31,1
44,23408,586,2052,0.085,1
64,31437,921,-208,0.546,0
71,21167,150,904,0.777,1
36,19073,218,659,0.328,1
20,18027,190,3694,0.054,1
40,44312,614,1654,0.005,1
35,20377,618,122,0.35,1
36,30895,374,1811,0.429,1
39,20767,274,1566,0.016,1
41,27462,95,635,0.171,1
64,69288,301,464,0.326,1
61,11467,387,1011,0.18,1
64,56369,435,3136,0.231,1
22,19888,310,-22,0.287,1
25,18579,404,1311,0.252,1
27,10812,571,-661,0.314,1
53,16165,630,1617,0.255,0
22,16131,295,1736,0.105,1
72,20472,92,236,0.367,0
39,42324,46,2803,0.522,1
31,41721,628,1225,0.044,1
18,12228,644,1073,0.342,0
48,19637,423,-194,0.618,0
43,23532,774,2266,0.141,0
42,24151,110,262,0.214,1
37,43237,167,2347,0.279,1
40,29762,1094,266,0.166,1
45,44180,705,2787,0.042,0
35,28009,455,1055,0.06,1
28,16867,471,2037,0.276,1
44,25639,513,621,0.444,1
66,13115,681,2231,0.329,1
64,43031,449,1009,0.033,1
63,25475,413,139,0.13,1
71,30134,657,1937,0.086,1
28,49679,142,-66,0.211,1
23,26225,425,2136,0.137,1
64,17351,105,2899,0.022,1
32,32476,367,-91,0.111,1
36,13697,654,696,0.038,1
60,48759,490,2677,0.074,1
40,26795,378,776,0.061,1
68,43375,796,2557,0.3,1
41,26944,369,3786,0.4,1
59,20722,796,1345,0.412,0
50,64985,813,956,0.582,0
65,41919,586,1555,0.023,0
48,9000,775,923,0.607,0
52,25376,163,1700,0.58,1
36,10968,667,-1237,0.418,1
39,13998,397,1231,0.22,0
51,34029,22,1735,0.406,1
68,18014,57,1069,0.355,1
36,12505,552,1897,0.657,1
19,40949,320,-479,0.421,1
42,15961,1004,191,0.176,1
29,19195,442,2177,0.007,1
36,30064,492,-54,0.385,1
62,15988,638,1547,0.197,0
24,19354,734,1981,0.055,1
51,44997,1013,1228,0.136,1
75,14167,2212,198,0.117,0
68,25755,190,254,0.081,1
20,17204,526,1423,0.226,1
62,37588,217,2014,0.139,1
53,22061,190,918,0.279,1
18,30147,289,895,0.128,1
38,50719,111,2170,0.154,1
49,37974,35,1198,0.247,1
46,18818,314,2359,0.549,1
33,18726,469,866,0.221,1
33,25345,368,1189,0.096,1
47,33630,367,2053,0.343,1
68,19892,122,21,0.062,1
20,28185,338,1044,0.229,1
51,38931,1207,1306,0.107,0
29,60620,438,1965,0.128,1
52,39999,441,1706,0.039,1
50,35900,343,1228,0.367,1
70,20177,335,2394,0.0,1
22,17081,51,836,0.515,1
61,42088,384,2132,0.155,1
42,24652,519,725,0.24,1
31,30001,328,1270,0.432,0
24,13979,426,1216,0.158,1
59,23432,541,253,0.335,1
55,20879,516,1565,0.268,1
69,14323,52,2182,0.205,1
36,13257,77,2416,0.2,1
71,31410,110,1991,0.393,1
37,20958,2169,783,0.143,1
70,17356,191,2746,0.0,1
56,9000,283,1808,0.64,1
25,15295,414,31,0.305,1
33,33313,331,1847,0.19,1
28,24913,597,104,0.185,0
39,22636,203,805,0.47,1
48,29690,844,-1500,0.452,0
57,25541,240,1246,0.0,1
19,20750,448,40,0.555,1
56,36703,309,1017,0.018,1
33,25062,378,622,0.343,0
34,14228,17,609,0.488,1
26,24288,854,-529,0.105,1
75,37248,350,1700,0.0,1
56,31910,534,2337,0.096,1
49,12209,497,3232,0.457,0
51,26651,1022,646,0.319,0
34,26393,364,1907,0.28,1
37,16546,142,-709,0.186,1
32,21201,198,1750,0.014,1
21,34060,500,1461,0.048,1
61,27430,195,1004,0.539,1
25,36347,79,860,0.238,1
18,30977,283,1921,0.047,1
59,19820,512,1410,0.098,1
73,58087,43,2735,0.13,1
50,24930,180,-629,0.127,0
65,19981,419,-554,0.082,1
48,17215,595,119,0.0,1
69,32352,337,794,0.289,1
41,26410,358,1718,0.437,1
32,24794,1068,1041,0.31,0
41,51311,571,29,0.568,1
56,20638,1056,1833,0.114,0
53,20206,95,-43,0.368,1
47,40130,676,3126,0.13,1
70,28546,390,664,0.203,1
75,34428,407,2772,0.692,1
55,66972,532,2757,0.369,1
61,18122,373,1213,0.289,0
31,15984,259,289,0.19,1
44,22631,1144,2257,0.246,1
20,22726,327,11,0.011,1
55,34051,447,745,0.353,0
20,48986,217,1898,0.304,1
71,58077,424,997,0.047,1
49,14055,747,725,0.157,1
72,57490,207,376,0.459,1
21,22432,313,12,0.53,0
26,25307,350,1381,0.502,1
20,43905,200,2608,0.147,1
56,13986,175,1335,0.166,1
39,46835,85,326,0.189,1
27,45544,423,1486,0.191,1
44,53815,220,3189,0.393,1
55,12431,201,1333,0.481,1
21,25059,534,1261,0.0,0
52,20268,44,2593,0.163,1
23,20688,166,348,0.129,1
37,66052,165,1376,0.212,0
30,20809,274,1007,0.288,1
48,29352,700,1466,0.452,1
43,25675,904,1869,0.438,1
47,25410,820,691,0.51,0
44,28579,995,885,0.13,1
59,27638,478,1084,0.111,0
41,33568,379,1732,0.019,1
46,19863,584,2268,0.086,1
50,41241,345,1387,0.571,1
47,29591,94,-229,0.138,1
63,16951,549,2516,0.136,1
36,36990,290,1821,0.053,1
65,15793,248,427,0.233,1
26,32000,138,2362,0.491,1
72,55618,211,2855,0.256,1
43,38672,179,2715,0.144,1
25,27232,350,387,0.151,1
21,30622,979,2072,0.343,1
46,25040,604,1286,0.024,0
19,24815,275,968,0.276,1
21,91558,512,3306,0.143,0
30,37228,319,1324,0.426,1
40,21889,405,353,0.119,1
23,18073,511,1678,0.403,1
44,43440,281,-653,0.287,1
43,16305,176,1666,0.232,1
20,16711,215,301,0.084,0
37,28513,105,828,0.143,1
50,15021,161,3157,0.027,1
21,32939,152,1459,0.2,1
36,31339,1502,891,0.005,1
67,42179,44,1128,0.358,1
36,13390,286,315,0.568,1
71,32622,487,1707,0.048,1
31,44332,121,2588,0.31,1
74,27991,1022,642,0.0,1
60,23873,367,348,0.2,0
24,20033,237,1361,0.28,1
74,20670,591,582,0.126,1
71,19369,440,1315,0.421,1
63,48101,985,1792,0.154,0
61,54647,1270,2517,0.095,1
30,18255,216,1223,0.178,1
28,44351,215,996,0.651,1
19,16722,358,1348,0.603,1
50,26429,1006,-76,0.39,0
30,11604,640,1094,0.0,0
70,32149,618,2571,0.536,1
70,26688,436,2618,0.168,1
37,28859,507,28,0.022,1
27,29559,219,1783,0.267,1
33,74153,556,1401,0.357,1
60,13322,231,459,0.133,0
68,17499,33,450,0.028,1
40,38995,349,838,0.218,1
26,45975,251,1186,0.162,1
65,32802,86,2682,0.101,1
69,16459,260,618,0.39,1
38,20639,214,387,0.156,0
45,32339,944,1479,0.287,1
24,28354,244,959,0.143,1
49,23189,446,3297,0.178,1
24,12499,267,565,0.239,1
58,55656,995,2019,0.2,0
29,17134,424,329,0.145,0
19,47512,392,1775,0.341,1
33,52963,132,1467,0.529,1
72,14350,149,2179,0.161,1
21,28591,107,1311,0.268,1
22,21509,372,480,0.177,1
19,30883,319,1196,0.199,1
73,51731,559,884,0.265,1
38,28711,698,2300,0.119,1
38,26042,285,262,0.539,1
23,22490,94,1895,0.259,1
28,16411,526,1495,0.071,1
33,12600,287,2994,0.274,1
75,40059,656,2673,0.511,1
20,22006,891,291,0.271,1
73,53034,388,157,0.119,1
54,26849,522,484,0.136,1
58,27459,511,2278,0.407,1
61,30050,161,639,0.167,1
44,24244,395,1722,0.205,1
56,59692,169,721,0.233,1
18,34157,954,813,0.0,0
73,21657,454,521,0.007,1
46,27434,616,1869,0.043,0
20,17111,351,526,0.096,1
69,29497,189,2372,0.0,1
66,20644,564,2388,0.16,0
57,41563,211,1569,0.164,0
19,18790,581,1192,0.439,1
44,15466,168,-108,0.025,1
30,20963,1131,131,0.684,1
22,33116,105,1504,0.096,1
21,13108,1333,11,0.106,0
58,11870,327,1467,0.495,1
22,23210,335,1648,0.34,1
27,33335,494,2194,0.412,1
49,11441,255,986,0.403,1
22,30726,1137,-97,0.178,1
53,57819,573,1391,0.0,1
45,20432,291,2147,0.209,1
65,20454,301,-156,0.063,0
22,28484,528,1145,0.309,1
43,27822,455,1766,0.347,1
34,13554,272,281,0.062,1
68,43147,592,-549,0.606,1
34,13683,627,1066,0.381,1
67,25959,146,1080,0.228,1
51,18581,168,-516,0.218,1
58,20156,440,1290,0.468,1
30,22027,96,1312,0.074,1
73,11767,549,619,0.663,0
64,16712,124,355,0.57,0
26,31632,80,1606,0.093,1
55,56126,12,1652,0.363,1
66,50831,447,1886,0.081,1
18,17835,184,469,0.182,1
36,19591,628,80,0.552,1
62,51462,575,904,0.155,0
67,25093,620,-304,0.412,1
51,33079,174,-1202,0.121,1
52,40273,159,2750,0.211,1
47,19229,117,199,0.061,1
29,32699,1171,2710,0.072,0
26,22827,487,453,0.031,1
56,18248,1264,189,0.0,0
44,17132,888,750,0.0,1
31,21470,59,907,0.194,1
25,25262,496,606,0.087,1
66,32390,356,2250,0.367,0
55,17510,937,1643,0.22,0
28,35525,577,277,0.004,0
60,38961,145,1696,0.166,0
19,72379,333,2612,0.06,1
36,30725,285,-1373,0.389,0
54,21220,925,935,0.126,1
74,48670,401,-276,0.032,0
73,49025,192,1264,0.152,1
62,34825,275,795,0.323,1
37,17785,844,496,0.015,1
32,15145,561,539,0.406,0
27,21900,399,799,0.256,1
51,25514,855,-77,0.201,1
41,56706,732,2752,0.074,1
51,33594,1389,371,0.307,1
36,19276,381,668,0.137,1
19,29710,447,513,0.201,0
48,57709,741,3600,0.3,1
53,41647,110,2630,0.238,1
45,24875,757,314,0.287,1
23,26134,559,1663,0.134,1
42,9000,524,497,0.287,0
37,21982,229,2370,0.066,0
18,16243,998,314,0.214,0
47,27718,929,1397,0.367,1
42,41794,265,2506,0.178,1
24,31549,100,1356,0.068,1
69,28777,282,1646,0.05,1
60,18578,611,1349,0.085,0
23,83907,696,1605,0.476,1
42,33470,642,1014,0.461,0
73,13734,192,2144,0.602,1
30,31619,747,2664,0.146,1
32,29166,624,1059,0.233,1
20,15948,397,-230,0.127,1
75,31311,52,96,0.148,1
51,18982,630,-370,0.096,1
48,16819,263,1923,0.551,1
73,27991,1004,1728,0.005,1
73,46837,605,1626,0.0,1
29,45425,540,1079,0.114,1
52,13416,232,1343,0.22,0
71,25302,344,-630,0.037,1
18,25873,844,703,0.029,1
74,30719,1665,899,0.399,1
51,35009,289,1098,0.368,1
22,22530,75,607,0.215,0
42,39896,308,2178,0.35,1
45,34059,426,668,0.174,0
20,23521,614,1426,0.097,1
37,26643,496,318,0.099,1
18,38208,740,1715,0.352,1
19,33541,455,2997,0.156,1
65,30382,349,506,0.0,1
50,49722,147,1581,0.29,1
36,38883,1616,127,0.043,0
44,36171,439,1440,0.44,1
68,28919,1229,670,0.38,0
21,9000,1129,843,0.094,0
26,32153,156,1623,0.603,1
72,11339,718,2530,0.2,1
23,38033,497,894,0.388,1
24,26366,446,1474,0.351,1
56,27426,1698,-433,0.209,1
36,39982,475,1794,0.16,0
69,10421,213,1725,0.237,0
40,64658,418,2053,0.418,1
38,40636,221,2365,0.036,1
32,28823,533,908,0.0,1
53,34783,540,1793,0.044,1
50,23283,628,872,0.205,1
28,33049,479,1702,0.057,1
22,12951,854,-484,0.136,0
34,17252,171,1618,0.482,1
57,9000,127,3444,0.432,1
43,32086,387,2796,0.148,1
55,39573,74,2085,0.145,1
18,35990,105,2409,0.088,1
68,19572,688,1334,0.203,1
24,33675,708,1480,0.523,1
23,13389,92,1872,0.299,1
62,53890,688,2327,0.147,1
71,54115,836,2588,0.288,1
52,24704,432,1156,0.524,1
40,24674,675,2569,0.067,1
53,41902,222,2190,0.179,1
75,25947,365,3308,0.063,1
33,17668,573,924,0.037,1
75,47443,220,1493,0.284,1
40,25276,113,1001,0.229,1
19,22640,857,1178,0.32,1
70,20442,244,1996,0.223,1
52,16515,346,1296,0.219,1
21,31271,529,851,0.271,1
19,18131,657,947,0.264,1
34,19795,343,3215,0.108,1
33,41113,223,1550,0.262,1
20,27430,394,1820,0.307,0
52,48314,391,3045,0.105,1
20,64789,1002,2795,0.634,0
72,28291,221,1355,0.118,1
43,15069,1470,-960,0.338,1
40,50287,1118,1571,0.323,0
24,15369,1074,2712,0.14,0
50,20565,82,2611,0.134,1
38,34140,1134,9,0.216,0
36,14372,325,422,0.074,0
44,12533,432,24,0.688,0
19,23540,469,447,0.0,1
54,20356,187,2613,0.219,1
31,52603,581,1995,0.386,1
30,20643,314,799,0.075,1
60,21902,429,1804,0.074,1
47,29908,158,2971,0.277,1
28,48545,849,2678,0.288,1
44,20560,599,1348,0.354,1
60,40516,172,2060,0.344,1
43,39474,230,1368,0.388,1
70,57182,892,-316,0.0,0
38,28168,146,1789,0.328,1
64,45168,268,3115,0.016,1
44,23015,735,1217,0.39,0
70,24252,1016,1006,0.348,0
61,9544,16,69,0.125,1
75,19158,550,-608,0.04,1
74,68706,261,2710,0.359,1
51,12057,477,656,0.224,1
21,18566,618,2154,0.182,0
20,20979,641,1301,0.301,1
59,31946,922,2763,0.331,1
39,21565,199,1035,0.355,1
30,56200,532,566,0.461,1
42,25031,469,1155,0.177,1
43,21480,523,-2,0.068,1
24,22526,379,472,0.204,1
35,37290,675,2579,0.084,1
46,40982,719,1215,0.139,1
50,18054,738,-166,0.442,1
67,18527,602,956,0.027,1
23,13551,455,1340,0.258,0
18,15104,388,478,0.033,1
66,22898,305,1901,0.032,1
60,17659,539,1064,0.142,1
43,15442,549,1453,0.062,1
46,13573,222,1150,0.191,1
19,18594,325,2443,0.0,1
60,10096,45,1858,0.155,0
62,33391,960,2457,0.332,0
29,19528,451,-476,0.071,0
20,58847,358,1055,0.117,1
20,10867,389,2605,0.006,1
54,29514,225,2530,0.426,1
70,13321,531,302,0.569,1
23,31952,1155,1456,0.402,1
70,34211,452,1077,0.02,1
18,36395,625,583,0.022,1
61,9049,482,367,0.458,0
48,31653,1016,2687,0.098,1
29,20078,109,1777,0.281,1
22,48209,302,2569,0.176,1
37,50694,620,43,0.658,0
52,20744,1156,1824,0.151,1
59,23367,1287,1781,0.413,1
21,17495,668,2879,0.322,0
56,30738,458,-44,0.0,1
52,39140,275,3057,0.499,1
66,11616,1111,1851,0.294,1
48,40063,1869,1788,0.23,1
36,68178,898,1343,0.231,1
19,25220,760,1948,0.683,1
35,23895,329,1142,0.07,1
48,25927,777,1116,0.606,1
71,19490,981,834,0.182,1
73,38447,1401,2054,0.263,1
24,30864,136,984,0.445,0
