age,annual_income,monthly_debt,property_price,deposit_amount,requested_loan,mortgage_term_years,ltv,max_borrow_amount,risk_band,approved
34,47209,1102,277467,42507,234960,20,84.7,164502,Medium,0
43,47312,427,189211,31811,157400,25,83.2,213471,Low,1
55,18631,175,146964,12624,134340,30,91.4,69286,High,0
66,63553,0,139227,22940,116287,25,83.5,287161,Low,1
48,44807,407,171898,35329,136569,25,79.4,238602,Low,1
52,46603,359,131939,12196,119743,30,90.8,210323,Low,1
20,19944,448,209372,29273,180099,25,86.0,72400,High,0
31,38765,163,244832,69038,175794,20,71.8,185366,Low,1
44,29773,689,169665,32866,136799,30,80.6,143122,Medium,1
58,40188,290,120000,17297,102703,25,85.6,167594,Low,1
21,73272,159,198135,57099,141036,25,71.2,318510,Low,1
61,26515,330,210189,25515,184674,25,87.9,101840,High,1
32,19791,510,186483,27536,158947,35,85.2,91208,High,0
57,38510,164,202592,13739,188853,30,93.2,159613,Medium,1
27,35296,1702,135129,24777,110352,20,81.7,121221,Medium,0
31,41706,370,189059,34176,154883,25,81.9,206168,Low,1
55,69664,79,209759,34587,175172,25,83.5,352089,Low,1
18,25770,410,120000,28046,91954,20,76.6,122715,Low,1
73,46914,116,292126,49478,242648,25,83.1,208620,Medium,0
31,23312,1114,192688,39088,153600,15,79.7,101573,High,0
44,24314,402,216324,43560,172764,30,79.9,114954,Medium,0
55,44884,0,251348,39453,211895,30,84.3,183956,Medium,1
48,53675,233,279051,89203,189848,30,68.0,170037,Low,1
41,33436,379,184658,50817,133841,30,72.5,111859,Low,1
18,22101,1678,152575,42751,109824,25,72.0,59527,High,0
68,24011,148,206435,38755,167680,25,81.2,82923,High,0
52,33219,1073,120000,18770,101230,30,84.4,155273,Low,1
29,33850,606,251935,26729,225206,35,89.4,142199,High,0
61,50003,998,197554,14630,182924,25,92.6,218396,Medium,1
49,29845,35,198853,50206,148647,15,74.8,109473,Low,1
46,23438,487,357635,118137,239498,25,67.0,108722,Medium,0
23,21921,124,373329,92641,280688,30,75.2,92338,Medium,1
58,20729,1078,223431,23574,199857,20,89.4,75134,High,0
53,30880,469,304850,47052,257798,20,84.6,140435,Medium,1
40,37409,572,143385,21548,121837,30,85.0,157050,Low,1
37,59344,876,242875,61759,181116,30,74.6,236473,Low,1
59,66825,551,295371,51735,243636,25,82.5,273594,Low,1
62,58233,266,142621,44077,98544,35,69.1,278921,Low,1
67,31551,91,154296,42947,111349,30,72.2,166035,Low,1
63,35932,213,245241,64736,180505,30,73.6,163482,Low,1
26,45245,88,270698,89863,180835,25,66.8,187163,Low,1
38,43177,353,261902,35631,226271,35,86.4,202377,Medium,1
42,61312,623,297735,56634,241101,25,81.0,270834,Low,1
64,27544,408,227634,27037,200597,20,88.1,109020,High,0
27,44145,298,205244,70764,134480,25,65.5,200022,Low,1
48,44140,696,240290,58397,181893,15,75.7,209225,Low,1
38,39135,1160,178880,16359,162521,20,90.9,181638,Medium,1
40,43465,64,244263,36306,207957,35,85.1,193953,Low,1
45,24642,216,230874,32137,198737,30,86.1,120227,Medium,0
24,40583,56,177906,39283,138623,35,77.9,199997,Low,1
73,34506,1628,152450,29184,123266,25,80.9,137531,High,0
42,35497,90,243374,62250,181124,25,74.4,151709,Low,1
52,35729,194,289389,98075,191314,30,66.1,150394,Low,1
29,77194,169,183536,44931,138605,20,75.5,378287,Low,1
25,42332,320,237252,43977,193275,35,81.5,155713,Medium,1
37,45796,478,219465,39707,179758,35,81.9,212328,Low,1
37,75290,211,205110,42142,162968,25,79.5,339900,Low,1
30,57205,538,120000,14312,105688,30,88.1,253876,Low,1
56,61938,176,354203,42000,312203,20,88.1,268295,Medium,1
19,24010,477,227283,64652,162631,30,71.6,113407,Medium,1
26,34035,120,120000,25960,94040,30,78.4,131208,Low,1
30,35255,118,447779,117067,330712,30,73.9,136158,Medium,1
28,51420,169,209315,13799,195516,35,93.4,248832,Low,1
18,60123,876,228936,98317,130619,20,57.1,271057,Low,1
55,51111,307,231342,78888,152454,35,65.9,235853,Low,1
46,54369,164,151658,20894,130764,25,86.2,224610,Low,1
47,58543,1209,180006,28011,151995,20,84.4,326100,Low,1
52,47987,189,230942,37419,193523,35,83.8,209226,Low,1
24,21670,1798,206236,53712,152524,25,74.0,77589,High,0
58,51902,409,273448,17346,256102,25,93.7,210664,Medium,0
36,29359,1165,120000,17326,102674,30,85.6,114043,Medium,0
60,30503,695,120000,23327,96673,30,80.6,119350,Low,1
39,52453,586,385691,86611,299080,20,77.5,231872,Low,1
23,25078,1403,149919,54791,95128,30,63.5,95654,Medium,0
41,50643,229,149969,27515,122454,25,81.7,203959,Low,1
29,31754,104,325388,69610,255778,30,78.6,127990,Medium,0
70,39184,451,182106,49479,132627,20,72.8,178006,Low,1
67,35482,847,170609,21753,148856,30,87.2,161582,Medium,1
32,44240,343,249635,60618,189017,35,75.7,198869,Low,1
56,36083,849,169463,29724,139739,20,82.5,140171,Medium,1
61,35963,306,257259,48523,208736,25,81.1,147293,Medium,0
41,45766,748,303554,52191,251363,35,82.8,191010,High,0
72,37136,0,232529,31639,200890,25,86.4,164983,Medium,1
44,20887,1040,126619,14704,111915,25,88.4,98539,High,0
62,31806,611,145696,28749,116947,30,80.3,158159,Low,1
19,23810,430,156956,53103,103853,30,66.2,115539,Low,1
44,48386,524,327388,73358,254030,15,77.6,210362,Low,1
18,39285,262,239228,34432,204796,30,85.6,161760,Medium,1
25,44446,1211,214370,47038,167332,25,78.1,199545,Low,1
74,49589,194,211798,69049,142749,20,67.4,235194,Low,1
53,59540,435,238428,26928,211500,30,88.7,262075,Low,1
46,41737,323,152056,36969,115087,25,75.7,193961,Low,1
24,45483,557,174591,64064,110527,15,63.3,217737,Low,1
33,40960,1305,257506,25824,231682,20,90.0,162229,High,0
56,37902,561,185665,38236,147429,30,79.4,164421,Low,1
51,18255,417,128168,25312,102856,20,80.3,70955,Medium,0
45,41463,648,190539,37459,153080,15,80.3,187685,Low,1
66,46682,223,242663,75940,166723,20,68.7,233400,Low,1
74,37939,656,239625,33986,205639,25,85.8,147412,High,0
64,36144,278,150820,22710,128110,30,84.9,175204,Low,1
45,42518,41,144381,28150,116231,20,80.5,212556,Low,1
49,22844,443,161864,37839,124025,25,76.6,91382,Medium,0
36,45981,108,198134,64583,133551,30,67.4,238500,Low,1
40,45506,352,152229,37712,114517,25,75.2,208015,Low,1
65,105183,819,161784,37945,123839,25,76.5,566781,Low,1
59,28222,869,144371,22858,121513,25,84.2,128035,Medium,0
43,25183,1001,196093,12657,183436,15,93.5,110916,High,0
27,100441,795,214748,51816,162932,30,75.9,304226,Low,1
69,96299,1481,317071,43935,273136,25,86.1,304344,Medium,1
72,42787,1447,120000,13497,106503,30,88.8,147270,Medium,1
41,35085,411,158995,46911,112084,35,70.5,147284,Low,1
31,19609,293,156633,45094,111539,15,71.2,72326,Low,1
41,34008,158,204978,23768,181210,25,88.4,130392,Medium,1
46,43821,561,149806,26483,123323,30,82.3,223471,Low,1
38,47649,507,220117,23852,196265,30,89.2,215391,Low,1
53,78954,312,182788,52231,130557,15,71.4,404707,Low,1
48,42096,368,208790,34700,174090,30,83.4,171391,Medium,0
70,63210,595,157295,25218,132077,25,84.0,302457,Low,1
73,31927,1371,120000,44454,75546,25,63.0,118873,Low,1
75,70606,552,161747,27014,134733,25,83.3,307505,Low,1
58,26854,332,263014,47177,215837,25,82.1,128283,High,0
30,47237,422,207121,26286,180835,20,87.3,229813,Low,1
27,29740,284,125020,15325,109695,25,87.7,142425,Low,1
56,46306,293,138966,20736,118230,25,85.1,205737,Low,1
26,46555,261,311152,32833,278319,15,89.4,185710,Medium,0
43,43702,517,210452,37987,172465,15,81.9,184525,Low,1
22,15918,265,206031,40520,165511,20,80.3,62754,High,0
67,63665,135,196569,44628,151941,30,77.3,275472,Low,1
58,55540,284,144734,18954,125780,35,86.9,317200,Low,1
68,50338,258,292422,36355,256067,20,87.6,213050,Medium,1
47,34819,278,150211,19301,130910,25,87.2,147863,Low,1
69,26448,179,211548,15823,195725,25,92.5,91848,High,0
54,35392,145,276551,59465,217086,20,78.5,175502,Low,1
19,18579,680,120000,24500,95500,30,79.6,70253,High,0
20,22734,779,286938,36164,250774,15,87.4,95784,High,0
37,54350,1812,328422,35723,292699,30,89.1,223018,High,0
44,14000,534,264487,84540,179947,25,68.0,69599,High,1
31,45311,400,187781,40225,147556,35,78.6,234073,Low,1
62,25375,742,329400,42750,286650,25,87.0,106733,High,0
50,51284,63,315963,72623,243340,25,77.0,206196,Low,1
46,34033,1803,176220,42740,133480,30,75.7,126802,High,0
31,39791,87,186504,46420,140084,25,75.1,165001,Low,1
27,21415,249,169736,20977,148759,15,87.6,93489,Medium,1
45,36693,840,134589,34759,99830,20,74.2,174381,Low,1
21,52210,634,186374,16861,169513,30,91.0,243361,Low,1
72,43666,436,170019,33808,136211,30,80.1,193624,Low,1
40,27200,196,163735,22644,141091,30,86.2,115180,Medium,0
74,54625,325,182433,34200,148233,35,81.3,220323,Low,1
36,26917,637,149282,13071,136211,25,91.2,118894,Medium,0
22,53738,753,222506,70126,152380,35,68.5,246837,Low,1
53,35058,406,220543,51369,169174,15,76.7,144075,Low,1
54,45062,781,121314,19078,102236,25,84.3,177006,Low,1
55,28836,418,239172,33703,205469,30,85.9,140394,High,0
65,56242,337,140700,16149,124551,25,88.5,195746,Low,1
73,63232,429,154479,9890,144589,20,93.6,274856,Low,1
46,42146,281,153268,10402,142866,30,93.2,156993,Medium,1
46,38576,798,169648,20736,148912,25,87.8,173159,Low,1
18,14000,141,274626,73514,201112,25,73.2,56933,Medium,0
72,83711,604,182884,24442,158442,20,86.6,329071,Low,1
32,32188,936,152289,20592,131697,30,86.5,120706,Medium,1
57,38432,355,252533,17614,234919,25,93.0,138794,High,0
40,108945,1013,255216,36263,218953,30,85.8,498946,Low,1
49,42922,392,136555,12566,123989,20,90.8,174229,Low,1
20,19422,921,409910,73586,336324,30,82.0,81211,High,0
58,37979,139,318915,63506,255409,30,80.1,176589,Medium,0
31,50146,195,184402,56412,127990,25,69.4,224308,Low,1
60,30804,162,306369,68577,237792,25,77.6,144043,Medium,1
63,31548,559,198200,58957,139243,35,70.3,134201,Low,1
59,23465,603,146498,35683,110815,30,75.6,113700,Medium,1
20,15937,236,263564,16846,246718,30,93.6,58892,High,0
21,30531,568,320179,71050,249129,20,77.8,131209,Medium,1
64,20433,132,285359,62689,222670,30,78.0,103600,High,0
59,94138,407,246593,55769,190824,20,77.4,463587,Low,1
53,23287,448,206195,25991,180204,25,87.4,91781,High,0
24,29797,224,227010,57420,169590,20,74.7,144140,Low,1
58,43174,611,199607,44826,154781,30,77.5,161746,Low,1
51,43920,346,175885,19973,155912,30,88.6,161293,Medium,0
61,28485,391,208707,50134,158573,35,76.0,110058,Medium,1
50,43742,514,166796,38009,128787,25,77.2,205142,Low,1
48,52819,168,332723,113803,218920,20,65.8,182980,Low,1
26,22992,464,184778,24477,160301,35,86.8,100242,High,0
29,64948,864,187819,23497,164322,30,87.5,338222,Low,1
38,36597,594,149002,22568,126434,35,84.9,135315,Medium,0
20,21360,142,227368,44548,182820,30,80.4,110269,Medium,1
64,25181,1507,173702,16172,157530,30,90.7,91473,High,0
66,24160,201,265097,48014,217083,15,81.9,97872,High,0
47,69025,914,250758,44482,206276,25,82.3,257141,Low,1
64,64675,564,173181,33203,139978,25,80.8,261574,Low,1
38,47389,436,212712,25346,187366,25,88.1,220730,Low,1
71,29675,840,296628,77039,219589,30,74.0,119267,High,1
21,81684,148,223235,50450,172785,25,77.4,334381,Low,1
74,26170,245,268339,44893,223446,15,83.3,100641,High,0
19,25292,194,410972,127715,283257,25,68.9,117459,Low,0
20,42690,853,240208,39103,201105,30,83.7,194292,Medium,1
62,70842,1291,246791,47329,199462,20,80.8,302537,Low,1
39,16376,829,200585,26670,173915,25,86.7,39569,High,0
31,43492,394,147657,20768,126889,25,85.9,167823,Low,0
20,24870,27,266622,80209,186413,20,69.9,118810,Low,1
23,21453,590,179271,23943,155328,30,86.6,86563,High,1
43,45881,329,225793,39442,186351,30,82.5,204504,Low,1
21,28321,687,437757,72420,365337,25,83.5,124169,High,0
60,41716,335,262916,56013,206903,30,78.7,208127,Low,1
55,16763,230,273121,62269,210852,25,77.2,64446,High,0
55,46550,418,262881,19819,243062,35,92.5,193450,High,0
24,54512,354,153093,46913,106180,30,69.4,198205,Low,1
57,23832,1113,137462,20515,116947,25,85.1,90524,High,0
63,26961,374,272785,47651,225134,20,82.5,103338,High,0
50,51305,955,316279,34867,281412,35,89.0,211476,High,0
71,65367,522,266648,38142,228506,30,85.7,302570,Low,1
51,49488,238,281668,25544,256124,30,90.9,232946,Medium,1
47,65402,265,143468,37957,105511,20,73.5,275759,Low,1
66,15495,355,171282,12928,158354,25,92.5,61154,High,0
28,23617,1009,142911,17250,125661,15,87.9,77234,High,0
26,40380,684,152768,14607,138161,30,90.4,128080,Medium,1
56,45318,1181,240108,62927,177181,20,73.8,181742,Medium,0
56,35930,221,222755,40795,181960,25,81.7,167215,Low,1
51,27213,787,120000,11356,108644,25,90.5,115646,High,1
42,36840,365,198321,24548,173773,30,87.6,168309,Medium,0
56,22759,1295,158652,18450,140202,25,88.4,77464,High,0
34,27830,1069,262402,68106,194296,30,74.0,108776,High,0
75,18975,139,188873,42754,146119,25,77.4,74838,Medium,1
29,19611,130,361266,36701,324565,20,89.8,80892,High,0
40,38761,1005,167052,25997,141055,30,84.4,170445,Low,1
33,53185,1749,120000,22403,97597,30,81.3,242222,Low,1
44,30480,540,188660,20260,168400,15,89.3,117672,Medium,0
71,34017,698,129962,16568,113394,20,87.3,129478,Medium,1
52,76669,1044,120199,7945,112254,30,93.4,262093,Low,1
66,20756,149,152249,21611,130638,20,85.8,95432,Medium,1
50,26136,869,198623,37533,161090,15,81.1,106719,High,0
24,35036,610,235674,34403,201271,30,85.4,169464,Medium,0
18,29854,681,154029,18505,135524,15,88.0,114648,Medium,1
27,41013,465,208192,45460,162732,25,78.2,198122,Low,1
74,33967,306,354118,54031,300087,25,84.7,188968,High,0
23,59091,176,279572,54199,225373,20,80.6,237786,Low,1
49,41276,114,158165,23478,134687,35,85.2,168383,Low,1
32,56688,1027,205825,70341,135484,25,65.8,239708,Low,1
41,38536,278,216211,52877,163334,25,75.5,161418,Low,1
33,24286,472,152792,16424,136368,25,89.3,103623,Medium,1
62,50834,1120,179694,26340,153354,25,85.3,243350,Low,1
60,46312,396,265101,40746,224355,25,84.6,220786,Medium,1
66,32941,995,371667,52406,319261,25,85.9,154954,High,0
53,23939,844,235723,32201,203522,30,86.3,101061,High,1
30,20088,288,212083,47682,164401,30,77.5,82208,Medium,1
56,31955,257,348625,26684,321941,25,92.3,148482,High,0
49,31544,482,137034,12786,124248,30,90.7,153728,Medium,1
49,37136,501,245855,22731,223124,25,90.8,146413,High,1
54,37253,630,177077,19325,157752,20,89.1,143920,Medium,1
45,34105,106,141115,15539,125576,30,89.0,146393,Low,1
59,27045,426,160650,37043,123607,30,76.9,128866,Low,1
40,55850,217,184421,28206,156215,35,84.7,237486,Low,0
24,52074,123,175827,18523,157304,20,89.5,240290,Low,1
55,59016,207,169659,25953,143706,25,84.7,275918,Low,1
61,50682,185,143096,35279,107817,35,75.3,189831,Low,1
51,44804,207,306716,25185,281531,15,91.8,205223,Medium,0
40,125708,226,307747,21105,286642,30,93.1,524140,Low,1
45,50825,251,217615,27323,190292,30,87.4,251330,Low,1
73,31972,452,120000,36729,83271,25,69.4,143566,Low,1
41,22272,196,181245,30488,150757,30,83.2,95583,Medium,0
55,54274,962,183683,39894,143789,25,78.3,249528,Low,0
29,34625,229,172552,36527,136025,15,78.8,168750,Low,1
18,27280,432,140518,16882,123636,30,88.0,84806,High,0
45,42696,415,183755,16357,167398,25,91.1,183255,Low,1
59,27141,53,191099,52218,138881,30,72.7,104382,Low,1
23,25896,359,152928,23221,129707,30,84.8,132251,Low,1
57,27474,618,164300,47831,116469,25,70.9,120925,Low,1
56,31593,0,246522,65373,181149,30,73.5,129803,Low,1
49,54125,281,266541,47383,219158,30,82.2,232880,Low,1
41,26695,182,296207,106280,189927,30,64.1,121786,Low,1
28,42422,33,120000,34440,85560,30,71.3,200146,Low,1
24,31636,329,161708,51475,110233,30,68.2,142342,Low,1
26,19016,98,167561,67353,100208,25,59.8,66896,Low,1
18,53866,1924,303956,41441,262515,30,86.4,189070,High,0
47,52488,413,120000,13380,106620,20,88.8,269669,Low,1
67,28946,281,188776,40625,148151,25,78.5,103488,Medium,0
67,43036,650,157103,42866,114237,30,72.7,184015,Low,1
50,26664,103,219313,33970,185343,25,84.5,125548,Medium,0
23,46645,509,195315,49036,146279,30,74.9,192135,Low,1
65,42764,589,228121,45825,182296,25,79.9,187225,Low,1
57,45964,584,169400,33010,136390,25,80.5,190434,Low,1
64,27553,777,428837,82757,346080,20,80.7,120793,High,0
37,36855,164,147926,36512,111414,20,75.3,149398,Low,1
22,29187,515,290449,72255,218194,25,75.1,139056,Medium,0
31,33297,597,123957,9658,114299,25,92.2,130675,Low,1
66,40052,122,278823,32653,246170,35,88.3,196546,Medium,0
38,17110,265,203190,72947,130243,35,64.1,75217,Low,1
47,42872,512,207711,52328,155383,25,74.8,207886,Low,1
21,30599,93,175139,35065,140074,20,80.0,140247,Low,1
29,26614,258,120000,12925,107075,25,89.2,103039,Low,0
58,74212,618,308774,21201,287573,20,93.1,281265,Medium,1
37,70604,400,304405,67786,236619,30,77.7,317334,Low,1
71,22443,718,274933,21105,253828,25,92.3,78487,High,0
58,28127,394,130067,18606,111461,25,85.7,126609,Low,0
67,53284,1346,276758,37437,239321,25,86.5,241489,Medium,1
43,30525,254,253863,38761,215102,35,84.7,124803,High,0
34,35180,721,322609,27270,295339,25,91.5,132133,High,0
65,34738,691,121913,15371,106542,30,87.4,157083,Low,1
46,43961,973,159942,47018,112924,15,70.6,168967,Low,1
23,28862,342,197906,33257,164649,30,83.2,139294,Medium,1
20,34510,192,207674,14132,193542,20,93.2,151161,Medium,1
62,36391,904,422263,38893,383370,15,90.8,141184,High,0
58,32457,518,165163,25972,139191,30,84.3,143757,Medium,1
41,42274,866,196212,28829,167383,30,85.3,173856,Medium,1
24,29069,39,152227,33095,119132,15,78.3,121623,Low,1
53,24296,232,162396,23048,139348,30,85.8,115640,Medium,0
24,33587,442,192775,28790,163985,30,85.1,100347,Medium,0
64,27148,170,252182,54505,197677,20,78.4,125208,Medium,1
45,48402,215,182614,14264,168350,25,92.2,270773,Low,1
61,37000,73,220681,37008,183673,30,83.2,141916,Medium,0
47,34199,386,160875,29535,131340,20,81.6,142435,Low,1
59,63814,97,189542,36543,152999,35,80.7,240763,Low,1
28,36074,219,134320,17328,116992,30,87.1,157122,Low,1
19,34399,418,129170,35468,93702,25,72.5,159838,Low,1
61,65572,287,120000,19250,100750,30,84.0,283935,Low,1
65,52679,1304,184552,42610,141942,30,76.9,240008,Low,1
26,42374,637,264613,43190,221423,30,83.7,199376,Medium,1
40,51444,402,194672,25092,169580,15,87.1,215918,Low,1
66,38094,1531,201563,13781,187782,20,93.2,134527,High,0
55,36301,456,143285,26359,116926,30,81.6,175804,Low,1
20,19666,349,178723,30256,148467,25,83.1,82168,High,1
63,28778,289,214037,70727,143310,30,67.0,113022,Low,1
74,30928,305,153470,28522,124948,20,81.4,142263,Low,1
42,57936,267,314891,51550,263341,30,83.6,212616,Low,0
39,28427,113,160168,41007,119161,35,74.4,143452,Low,1
46,43091,131,307286,115467,191819,30,62.4,176902,Low,1
21,39125,465,201785,33230,168555,20,83.5,140715,Low,1
33,42388,343,120000,24272,95728,25,79.8,175015,Low,1
24,50969,99,120000,34195,85805,20,71.5,275791,Low,1
24,21438,284,191973,31402,160571,35,83.6,106630,Medium,1
36,66972,80,136154,26261,109893,30,80.7,271379,Low,1
52,26259,620,186553,19896,166657,25,89.3,98295,High,1
25,32023,1256,233601,24457,209144,20,89.5,151430,High,0
64,48184,1014,216366,72645,143721,35,66.4,233905,Low,1
18,30051,289,195664,18748,176916,35,90.4,154529,Medium,0
18,22070,125,209464,47460,162004,25,77.3,107495,Low,0
68,16594,677,164804,22996,141808,35,86.0,79021,High,0
58,36453,344,207797,24105,183692,25,88.4,156425,Medium,1
68,69050,465,220665,32418,188247,35,85.3,267756,Low,1
33,59936,520,222500,46205,176295,25,79.2,237685,Low,1
33,16246,177,218233,38430,179803,25,82.4,64531,High,0
31,41067,654,124418,26444,97974,30,78.7,165658,Low,1
58,45203,1067,157746,43740,114006,20,72.3,158985,Low,1
66,25608,217,180047,26462,153585,25,85.3,127910,Medium,1
27,23444,418,223876,49213,174663,25,78.0,120842,Medium,1
40,30215,438,380490,62222,318268,25,83.6,126250,High,0
53,27894,1183,184450,37428,147022,25,79.7,124911,High,0
44,32188,891,182182,52084,130098,30,71.4,114063,Medium,0
64,28032,143,150338,9819,140519,20,93.5,136359,Medium,1
71,54889,523,168736,23873,144863,30,85.9,244100,Low,1
36,28871,108,198192,29706,168486,25,85.0,140171,Low,1
20,26709,495,208120,45577,162543,30,78.1,115283,Medium,0
40,18361,151,132937,28261,104676,30,78.7,89077,Low,1
35,35228,443,207732,28774,178958,25,86.1,157242,Medium,0
36,28918,403,144830,22284,122546,25,84.6,101688,Medium,1
39,20892,1037,237207,36941,200266,35,84.4,82322,High,0
41,27675,399,143708,17312,126396,20,88.0,115604,Medium,0
64,36795,584,309901,87219,222682,15,71.9,153249,Medium,1
61,45844,301,184380,18712,165668,20,89.9,180054,Low,1
64,71593,1042,306418,42187,264231,25,86.2,287368,Medium,0
22,94169,1123,127902,16937,110965,35,86.8,390085,Low,1
25,32112,95,188335,67825,120510,25,64.0,133403,Low,1
27,21147,474,224259,39542,184717,30,82.4,93349,High,0
53,39854,301,255221,85408,169813,30,66.5,156861,Low,1
22,25000,109,174021,25683,148338,25,85.2,100068,Medium,0
72,39346,1395,201771,50231,151540,20,75.1,138623,Medium,0
39,51909,152,208249,28222,180027,20,86.4,265927,Low,1
31,38383,863,207006,54514,152492,25,73.7,147493,Low,1
18,36898,393,463672,48811,414861,30,89.5,140689,High,0
48,38227,117,225536,43730,181806,25,80.6,137676,Low,1
43,27721,711,219813,22228,197585,35,89.9,112933,High,0
42,25951,400,172854,38935,133919,25,77.5,131059,Low,1
37,23837,490,152590,20575,132015,25,86.5,102090,Medium,0
40,49290,329,358458,83617,274841,30,76.7,213078,Low,1
45,34353,1357,259511,102099,157412,30,60.7,139673,Low,1
35,46910,754,283532,80882,202650,20,71.5,213951,Low,1
28,29343,706,460401,91834,368567,30,80.1,138586,High,0
44,34862,355,120000,19819,100181,25,83.5,173086,Low,1
66,44416,468,120000,32074,87926,35,73.3,177241,Low,1
64,38390,341,258441,91267,167174,25,64.7,173431,Low,1
63,25934,567,268130,56042,212088,35,79.1,112216,High,0
71,26888,164,242577,21660,220917,20,91.1,126223,High,0
28,39138,81,204955,20967,183988,15,89.8,137572,Medium,0
23,15481,448,243350,19513,223837,25,92.0,60431,High,1
