age,annual_income,monthly_debt,existing_cc_balance,total_cc_limit,requested_limit,predicted_limit,approved
60,30209,586,4691,11718,4676,5541,1
18,30233,142,1457,3924,10902,4891,1
41,23213,89,2974,23285,12331,3382,0
49,65384,679,2339,4491,5935,11824,1
68,25122,238,5191,6853,8107,3193,0
30,25461,588,318,7963,13793,4961,1
23,22589,888,1679,4137,13138,2821,0
58,41953,88,6459,45794,5694,6094,1
25,33872,353,1089,14186,9045,6036,0
27,77875,132,904,5201,3041,14067,1
22,22029,168,2581,26196,13348,3131,0
25,34999,663,3247,16469,9397,5083,0
55,23812,305,0,0,5767,3866,1
44,27207,766,5367,13352,3819,4071,1
49,15588,205,0,0,5730,2732,1
22,27801,587,0,0,5156,2818,1
19,32257,443,0,0,4568,5077,1
71,39237,1383,3846,9924,13462,6057,1
36,12000,162,11513,14104,8372,200,1
67,32372,842,5300,16374,8584,3890,1
32,44430,93,4576,14319,2946,7049,1
35,43997,960,4341,11656,7982,6145,1
52,54884,176,0,0,6492,9569,1
40,23054,188,2480,12915,4856,3667,1
33,35081,539,5073,11179,7547,5296,0
53,28652,421,4023,22632,6965,3994,0
68,19394,123,2181,11129,3348,3171,0
36,20648,294,0,0,4286,4612,0
34,37528,72,0,0,11246,6175,1
43,57746,516,1933,12495,9959,10258,0
55,18004,363,9108,31541,6719,1895,1
66,58018,9,6083,34056,7950,10083,1
48,13278,233,5938,12474,5111,1364,1
52,14621,65,1272,12821,6304,2733,1
20,57209,834,2043,8294,3105,9043,1
31,45682,220,5053,23807,6047,8047,1
44,50720,881,3819,9408,13937,8415,0
58,46898,452,17384,21726,5159,5490,1
21,60683,206,0,0,4646,11626,1
61,31299,361,7525,38977,11824,4115,1
32,25855,11,7284,38425,6071,3497,1
57,24543,167,851,5220,6070,4197,0
27,25243,110,13322,24327,8170,3062,0
31,34178,376,5778,14804,3305,5603,0
55,50015,483,1042,4310,5268,8924,1
18,16641,391,2679,9464,16835,2254,1
73,17301,108,1666,4418,3170,3662,1
31,17386,797,0,0,11307,1874,1
44,32202,1123,0,0,15027,5562,0
55,68776,780,7393,11692,7218,9732,1
48,60921,315,2423,15366,7241,11911,1
41,40763,82,3183,10917,10121,6277,0
18,58089,117,3918,20456,7849,10941,0
68,23467,825,2666,7978,6637,2966,1
52,36929,130,5017,23377,11291,6978,1
29,56652,715,5478,17055,6259,10253,1
61,45341,267,3447,4165,7928,7953,1
49,24944,623,8665,23341,7091,3151,0
46,35575,289,209,5347,6660,5998,0
23,36806,115,546,5981,13214,8021,0
58,45500,1415,7431,14685,7787,5471,1
53,33499,720,195,7966,4361,4905,0
40,50793,120,53222,65000,5150,2765,0
37,29565,297,9030,13551,3560,3748,1
59,24259,505,0,0,6914,2526,1
62,55284,331,0,0,2652,8691,1
67,71431,473,13133,21239,4558,10403,1
63,35531,544,769,11952,4730,4266,0
26,14495,716,9948,20384,17742,505,1
38,21625,448,682,3248,10462,3103,0
42,33997,311,4601,17206,5964,6075,1
64,16636,414,2542,8976,6946,3899,0
27,19650,174,552,26407,10083,2583,1
48,48956,490,3069,21681,12117,6412,0
38,12000,743,813,17277,15148,916,0
40,48541,60,2314,9351,9222,9714,1
45,57807,110,6744,22531,10596,9979,1
24,25229,1188,2870,14066,9607,3439,1
73,66876,457,4996,10852,15794,12004,1
42,22268,204,0,0,8793,2854,1
52,53635,397,237,14194,5497,8928,1
29,44571,399,23454,30883,8629,4482,1
25,54443,839,9537,34935,5322,8534,0
37,40018,330,424,3699,11402,7283,1
37,16243,198,3677,24213,4843,2953,0
30,20885,359,568,10354,3211,3460,0
56,43852,772,3037,12481,3917,5960,1
19,57365,681,3708,7746,6542,7641,1
26,40332,192,3480,9013,5322,6313,1
30,38654,616,0,0,16447,6201,1
28,32190,558,1321,3573,5475,4944,1
18,59130,366,3777,8037,2383,9679,1
55,28771,528,1322,13430,13175,5025,1
46,27967,1081,7234,18146,6709,3255,0
47,40221,97,0,0,3867,8869,0
52,59249,220,439,4155,9265,10254,1
24,23520,526,2319,9251,4056,3640,0
58,38324,247,879,36366,11654,6542,0
36,48026,332,4041,41221,3759,6856,1
60,16831,1038,2270,4314,5101,1850,1
39,48992,609,537,6789,4235,8085,1
23,22568,58,4883,32112,4948,3447,1
41,40169,634,11589,29471,5023,4992,1
29,31559,339,6561,22943,9190,4236,1
70,33033,190,7053,23706,8947,5290,1
67,56477,508,0,0,11525,9935,0
32,38376,228,1839,5776,1874,7266,1
56,24358,523,0,0,4828,3864,0
61,24357,498,3321,10579,10541,2867,0
41,57093,1272,0,0,10882,9820,0
72,30257,498,3022,28562,4778,4113,1
44,46656,917,5409,60336,5152,6612,0
62,22474,199,1976,7292,8315,2861,0
19,29860,764,0,0,10350,4920,0
44,48269,170,2593,4606,18072,7598,1
18,31123,1043,1591,7965,5180,5040,0
25,24870,185,3403,10965,12565,4206,1
74,34907,445,4178,16549,12795,5812,1
53,23690,320,1490,5574,8756,3932,0
46,72768,250,12204,42370,6145,12509,1
24,48452,263,1588,8025,29137,9796,0
33,32592,251,4262,6700,5531,5748,0
56,33080,382,504,10959,11251,7055,0
51,22724,368,6420,13637,6639,2225,1
45,26540,378,0,0,6554,3422,0
66,26320,154,9116,16974,9539,2713,1
74,48140,1673,7617,17783,18274,5560,1
64,23740,991,5956,11068,2394,1616,0
45,67454,226,0,0,11171,13431,1
49,38638,329,3828,11203,5750,5968,1
36,30884,366,1522,6151,4618,4849,1
40,60825,123,2625,19566,10589,11529,0
65,69223,699,0,0,15140,12085,1
59,29510,779,2730,15158,6237,5069,0
43,46000,1183,3812,7929,2569,7263,0
27,18998,273,2014,6793,4556,2183,0
69,39695,99,1588,5451,26423,8780,1
72,26554,172,3732,9244,4880,3992,0
41,39073,239,7643,14167,4649,5956,0
31,48669,90,8893,14669,13444,6486,1
41,46817,169,12940,35360,2983,6886,1
46,27728,198,2131,4744,20671,4536,1
38,31143,242,0,0,7414,6593,1
53,42763,1438,668,11033,4352,6491,1
48,32132,152,0,0,6018,5434,1
70,19141,412,2192,10944,6777,3389,1
73,23992,467,0,0,7878,4490,0
75,24677,368,0,0,4035,4380,1
58,31030,527,0,0,3484,4232,1
30,49997,173,10050,22175,3631,7789,1
27,22263,110,6657,12920,35000,3765,1
56,35433,226,6462,12736,12100,6587,1
26,33554,354,1103,7889,9171,4985,1
43,49060,88,0,0,14188,7982,1
22,23346,509,1545,3575,4689,3455,0
67,22091,528,257,18370,3454,3824,1
58,42152,50,0,0,4491,7863,1
68,23093,289,2824,10510,11462,4355,1
47,20733,804,1218,6834,18278,3613,0
69,26816,167,10751,32823,5339,4242,0
54,51258,662,2806,20838,4424,8282,0
19,13408,348,6052,19770,8620,2710,1
20,27826,494,3195,9374,5865,3856,1
37,12000,191,2229,19824,10620,2111,0
44,18615,714,3089,4085,6787,2911,1
31,22234,729,0,0,14154,2438,1
62,22491,234,643,4032,3982,3780,0
50,35656,676,973,17442,3785,6370,1
46,15306,1483,1156,4928,9469,1100,1
31,49893,145,2281,13091,5682,9010,1
27,40786,344,5376,12436,7184,6243,1
45,17538,508,5203,21540,12745,1595,0
21,16009,683,1562,11019,2958,2950,0
72,21088,263,4574,17067,11923,3505,1
40,12580,873,2636,8294,7000,976,1
74,20582,366,2609,12543,16144,3127,1
36,19029,137,1626,12294,19161,3663,1
22,58235,1046,2679,14880,3408,9006,1
53,30625,770,3901,12133,6336,4741,0
54,45179,92,0,0,3415,8243,1
55,47188,209,705,6223,11633,9304,0
65,38701,324,5470,29156,5372,7606,1
73,22808,268,3214,8811,7816,4282,1
46,23111,240,0,0,13759,3701,1
46,25845,724,0,0,16031,3033,1
18,39345,741,23137,46461,4720,3107,0
72,31640,247,6509,16140,21878,6087,0
32,48651,485,1030,6352,13741,8293,0
57,18618,557,223,20584,5618,2229,1
40,28100,689,0,0,1670,4580,1
49,16952,670,0,0,22942,3257,0
20,36300,613,4820,19176,23086,5832,0
58,19770,451,1963,21448,4984,2455,1
31,25510,201,7471,14506,3429,2529,0
60,15982,295,657,2136,5730,1763,1
63,39558,97,22184,31389,6261,4983,1
59,33625,174,0,0,2737,5446,1
20,18118,398,0,0,3570,3556,1
21,33253,566,259,4028,14673,5499,1
64,51609,179,7681,40533,4721,9194,1
59,17991,322,1506,17723,13938,3048,0
53,54612,498,5970,18885,9991,7808,1
24,34128,418,1215,8422,7822,6034,0
58,35719,54,1002,6349,4169,5480,1
51,23382,510,4476,10473,19312,4397,1
61,27222,229,1641,24793,4587,5162,1
50,33464,556,1102,5660,3449,5635,1
48,31597,779,0,0,10513,4855,1
26,76796,107,6244,9045,7968,12908,0
29,31081,22,454,4081,3390,5557,1
38,50609,632,283,10713,7613,9499,0
20,16330,281,21309,30922,5754,291,0
64,45929,247,4408,9557,6448,7674,1
66,30214,334,0,0,4574,4586,1
47,57590,27,0,0,8406,9534,1
64,26056,94,0,0,28114,4390,1
38,24604,262,0,0,9917,4051,0
71,33461,297,6709,18997,8223,4296,1
21,45337,577,2138,15754,6196,7781,1
74,54050,468,2319,11326,3637,8909,1
19,32008,124,13601,23164,14584,3940,1
20,40481,1275,6826,30980,2014,5999,1
62,34288,132,1228,34415,4055,6631,1
39,12721,773,4002,11526,9550,1982,1
31,35290,418,1097,10283,2237,6101,0
20,28206,583,5582,13783,8714,4006,0
23,38003,1069,15168,29915,4590,4292,0
43,31566,447,2135,4637,9478,4557,0
21,23684,137,0,0,6963,4607,0
60,36467,337,5981,14907,13127,5991,0
55,40230,154,2406,8230,13617,7095,1
55,42043,631,481,2508,6548,5341,0
24,33901,256,2194,48941,5762,5701,1
57,24260,809,2255,19536,4652,3183,0
63,43070,565,454,11519,5543,8022,1
50,50806,251,2077,8739,3069,9088,1
71,34517,87,7105,20067,15908,5198,1
51,36397,284,2033,7650,9717,6667,1
47,32094,68,1759,30195,6404,5670,1
66,16143,440,8781,21800,9122,3127,1
28,42156,241,1649,5687,13610,7747,0
26,37632,12,10313,11463,8681,6468,1
56,37568,52,172,4569,2778,6217,1
56,46302,283,0,0,7262,7987,1
51,23420,346,18113,28244,4843,615,1
42,25416,55,2280,7355,8987,4611,1
56,32457,986,9115,24796,16006,2955,1
34,46755,661,2320,6617,3420,7878,1
75,56836,339,24193,38140,14277,6701,1
29,39996,211,2443,10286,8105,7022,0
40,42659,724,3615,13259,16602,5720,0
33,29259,773,1664,12158,7074,4014,0
44,47131,331,12611,21227,10829,6547,0
71,68858,327,1757,7218,7094,10868,1
52,21098,577,0,0,10762,3476,1
66,38918,346,1731,5991,11001,5917,1
50,41075,358,2286,18887,5722,7222,1
24,48407,663,0,0,6397,8701,1
18,47617,298,3033,15970,6935,8872,1
27,23658,30,4277,32116,1494,3694,1
74,29535,1448,4932,15435,9222,3072,0
23,45390,636,964,8724,3785,7529,0
49,23228,727,2576,11989,2640,1835,0
32,21411,313,5367,17061,5517,2725,1
41,34545,389,0,0,6641,5972,0
33,43416,520,1337,9365,8366,7999,1
62,18504,356,1912,12770,10426,2955,1
60,21661,236,4869,10203,12568,2990,1
66,37349,415,19655,36865,5219,2936,1
53,36752,405,9636,17441,5899,5352,1
30,41416,61,2309,20597,3913,7539,1
56,52488,271,11420,44679,8229,5901,1
49,30787,40,7543,14725,5539,4526,1
49,35897,584,1764,12431,20230,6291,1
54,30779,433,1042,19076,5696,5968,1
45,35119,166,484,6648,7814,5711,0
59,41333,437,1734,7273,4192,7433,0
40,28536,2134,2250,5576,1559,2308,1
24,29322,84,746,6741,7795,4564,1
55,49670,1376,3858,10896,17640,7538,0
61,37049,453,847,5454,11860,6193,0
51,40689,452,5345,12405,6434,5476,1
40,54290,771,9788,16998,4854,8546,0
45,16210,609,149,4308,7290,2635,1
73,26626,284,6323,9787,11110,3217,1
41,36250,1132,5608,10220,7946,4750,0
55,55760,166,885,5702,2788,9517,1
29,41312,780,4519,30346,5740,6608,1
18,28350,569,0,0,3926,4608,0
45,73244,1592,2808,10041,9667,10986,1
59,43617,502,0,0,3098,6545,1
23,58662,341,1255,3533,35000,10980,1
57,23292,182,1282,16784,6927,4622,1
56,25343,666,2368,14877,9563,3633,1
49,58741,343,3045,15253,6425,10375,1
41,33135,301,246,2837,7878,6070,1
28,51789,53,7305,23682,13653,8120,1
24,59720,516,0,0,14078,9957,1
26,33766,823,309,14903,3932,4913,0
18,23895,815,386,11012,3484,2828,1
47,28545,396,1370,17297,6975,5489,0
67,13232,405,0,0,3586,2742,1
67,12681,1178,1279,5047,12283,628,0
50,34510,842,2970,8905,7516,5343,1
23,42900,1298,2326,17713,12843,6234,1
65,43602,172,2604,17726,10912,7404,1
57,40993,978,1250,6364,7963,6687,1
64,12852,595,1428,13895,12762,873,0
37,31087,164,13969,27494,3675,3338,1
22,30857,51,0,0,3277,5276,1
31,71075,83,0,0,2861,12601,1
66,27693,251,2247,17308,11236,3955,1
38,13741,148,2998,7407,8442,1249,0
47,34216,619,1519,28950,12841,5560,0
21,20647,732,3785,10861,7316,862,0
29,65256,249,276,12953,5945,13117,0
58,26212,263,0,0,5655,4576,1
37,25055,124,7565,23007,8838,2974,0
71,30724,1071,3241,7311,5035,4109,0
58,39561,962,5656,27968,18831,6434,0
67,44465,515,17031,38073,4051,6002,1
43,35034,498,1911,10036,8301,5582,0
34,53432,390,7648,31466,3725,9295,1
65,23500,545,14003,35216,9929,2196,0
46,51681,226,1863,5658,4684,8807,0
23,42662,357,1458,35437,24440,7369,1
20,121512,136,325,28119,11197,22786,1
62,46888,106,1058,10369,3978,9230,1
58,35677,581,11585,40516,12702,4648,1
41,18404,229,4586,9561,19707,3633,1
24,40094,393,2225,15761,17996,7632,1
53,18853,165,1671,5157,4973,2448,0
24,37150,417,1915,44490,7474,7283,1
64,38962,214,3740,17080,11973,6419,1
45,22593,65,1016,8003,11398,3424,1
61,14322,238,614,25403,5406,2395,0
47,40727,270,1278,4918,11246,7283,1
59,19109,96,4518,12877,6328,3442,1
28,33824,176,4214,44892,6762,4787,1
19,26130,469,1097,13663,16154,4062,1
61,37579,63,0,0,7702,6337,1
65,32278,447,1355,15456,8952,5236,1
26,31536,490,3356,12051,6517,4879,0
40,27055,418,1572,6490,4876,5000,1
66,34156,532,1731,8024,11204,6339,1
55,47399,292,1209,7956,10441,8936,1
20,28188,440,0,0,7788,4839,1
63,48450,690,0,0,5398,8583,1
74,40220,99,6219,11090,8975,6388,1
42,26490,318,0,0,6770,4243,1
39,30322,136,0,0,8101,4569,1
46,41103,680,9285,41698,17168,5511,1
21,34939,408,4888,12390,8536,5997,1
33,21626,258,0,0,15313,4746,0
24,29955,410,0,0,8748,5044,1
24,57252,537,1092,13815,7915,9363,1
36,76241,369,208,12656,13453,14599,1
52,30045,93,1624,11129,11933,4341,1
25,45817,263,6178,11669,7941,6582,1
64,61067,325,8453,13469,7713,9585,1
18,23783,446,2492,8638,8115,4578,1
18,23531,14,805,3693,11098,4394,0
68,39721,225,7906,25022,4354,5613,1
58,27085,11,6319,13791,5607,4950,0
68,17099,234,1516,7442,6623,2399,1
33,35969,583,8873,19415,15000,4616,1
33,24542,319,1556,12773,7684,4435,0
31,30469,380,5192,15559,7337,4038,1
58,68440,689,2851,10885,6640,12201,1
66,22255,383,7656,11323,5453,2715,0
27,25604,519,7560,8394,2835,2354,0
40,24957,501,794,28318,13807,4819,0
53,21465,234,353,4978,7317,3729,1
44,30420,205,2915,10856,11676,5371,1
64,32296,397,4227,9629,13158,4776,0
71,56411,156,0,0,5574,10902,0
36,39085,654,1119,2968,5721,6403,1
20,31126,150,27452,52219,4288,1337,1
40,38046,757,3960,24681,6946,4824,0
35,16017,382,9751,26672,578,1741,1
36,21103,503,7113,14539,11959,3488,1
39,53273,906,956,11655,10972,8248,0
41,21155,68,0,0,8032,4295,1
64,19469,65,1022,5210,5356,3585,1
61,25561,786,6211,22647,8226,3143,1
64,23982,362,4393,10847,2445,3775,0
22,84422,185,0,0,12016,15881,1
25,54384,729,2734,14774,3889,8709,1
27,45819,11,3163,7569,5279,8625,1
53,32607,146,2028,5312,10382,5550,0
22,49092,962,12604,45450,5323,6894,0
72,27370,244,8009,10275,14101,3682,1
39,59798,446,2017,12449,7242,9863,1
31,20779,315,0,0,7129,4070,1
18,14329,316,15469,65000,7304,540,1
48,31809,635,3158,31456,4733,5679,1
43,43980,586,8828,16495,12717,6106,1
42,29063,627,1021,10504,8303,4940,0
37,52037,427,5051,9560,9608,8093,1
40,29944,217,0,0,15033,4470,1
45,39089,208,5309,15948,4250,6148,1
35,21218,305,12847,23006,9160,3150,1
28,24724,85,6000,9244,10192,3021,1
44,23793,185,6361,33796,4523,2961,1
66,21371,388,0,0,14729,2852,1
64,49622,565,2072,8788,5645,7084,1
63,73100,191,397,11900,13282,12861,1
71,41941,481,0,0,8641,7312,1
28,21203,246,2628,16777,30875,2900,0
23,33385,787,0,0,14236,4965,1
64,27759,163,3532,30527,8817,4845,1
32,31953,194,5673,10809,14391,5490,0
36,24027,85,2705,24892,4174,2259,1
60,27776,550,6500,12455,8164,3158,0
40,25399,242,2968,39712,8977,4220,1
68,30031,316,3953,18346,11056,4990,1
41,44850,567,0,0,2464,7131,1
59,22903,253,4810,15920,4362,3435,1
50,29585,770,1707,5828,23327,4651,1
65,42353,187,4710,13996,9890,6878,1
48,38835,675,4523,8173,12424,7035,0
52,22552,45,5062,10903,1420,3466,1
36,31191,1235,4150,15797,6772,5719,0
39,23145,996,4928,6084,2946,2753,0
51,33278,819,5547,30321,3578,4067,1
68,25801,830,255,16762,5787,4762,1
36,29201,232,4208,20568,4056,5644,1
19,28351,232,586,20271,5918,4989,1
42,46611,615,6803,12523,2014,7732,1
29,31286,317,2801,5416,19367,4151,0
36,24308,670,2179,7055,3590,2681,1
62,23514,444,1357,2896,4906,1969,0
24,27357,253,1808,19544,3908,3152,1
51,35286,241,3808,9253,6332,5866,1
75,43641,1119,3354,19968,7601,7182,1
68,22453,306,807,6728,4391,3011,1
20,23931,470,0,0,12021,3487,1
62,21482,44,5597,19592,8287,4152,0
53,44904,406,2595,7352,10591,8399,1
18,38091,103,0,0,22638,7975,0
38,28836,1255,534,15481,14004,5030,1
49,27600,647,2915,6554,35000,5206,1
46,20836,527,1619,10341,3964,2191,1
33,29101,356,3155,7149,9549,2976,1
33,40712,241,453,7082,4452,7043,1
47,62416,1034,141,12131,2955,9541,0
68,40318,244,0,0,8126,6728,1
20,58467,305,1180,3516,16358,11027,1
51,15452,830,5510,15251,6458,965,1
29,28062,481,4469,33821,6952,4751,0
52,49537,338,3944,9814,15979,9227,1
50,52516,387,1136,6352,5885,9859,1
70,36173,835,0,0,4882,5458,1
22,32545,286,1882,17402,6412,6090,0
61,30952,83,908,29175,10496,5854,1
42,55658,281,926,11858,1500,9422,1
31,47199,87,1559,9021,3691,8423,1
24,37177,453,2653,3892,8501,6570,0
59,23716,1032,0,0,4745,4817,1
55,12000,341,2533,13035,9384,1755,1
69,20860,224,6035,17636,3680,3100,1
36,38667,610,11465,16944,11497,6613,0
71,32820,129,4415,23473,5778,4529,1
37,42586,430,12454,37505,1740,5472,0
70,44081,107,389,10464,5387,7692,1
56,22952,589,0,0,12225,3708,0
25,24832,816,0,0,6214,3681,0
33,35750,340,0,0,4149,6835,1
28,36213,127,4394,26671,20558,5371,1
39,32440,100,3250,14141,5180,4788,1
48,31963,302,2771,27295,2615,5654,1
57,27228,614,5301,23396,4461,2688,0
19,26793,744,0,0,8759,4388,0
56,24141,122,4561,17730,3656,3964,1
33,44598,595,0,0,7227,7504,0
34,19572,526,553,20169,7636,2941,1
26,47274,466,9178,19281,8310,6307,1
75,49247,153,9049,16217,4885,8450,1
56,30839,350,0,0,5440,4194,1
49,36271,131,3046,14977,3477,5747,1
51,46945,119,5978,52042,7438,7851,1
34,48273,644,1291,2269,7890,8953,1
37,36695,425,5269,14447,17507,6298,1
32,26086,956,0,0,8259,3951,1
21,21191,799,3072,7726,10766,3336,1
61,31669,632,1932,24642,5800,4969,0
25,51200,341,1285,8351,6936,8982,0
18,38978,339,305,2519,7267,6473,1
59,27056,1073,4534,20435,2863,3956,1
73,29723,245,0,0,11314,5226,0
50,48753,99,1493,12214,4943,9570,1
65,42636,843,2025,6733,11879,7895,1
48,47621,899,1917,4852,5476,8187,1
69,12000,660,5793,10735,6227,272,0
41,52694,1274,14062,25491,15229,8022,1
32,23822,527,839,5846,6828,4047,1
41,44159,646,924,9133,3614,7115,1
56,50761,346,10521,32895,4847,5977,0
53,58170,253,391,12611,4772,10176,1
47,46508,250,2295,8290,7726,8636,1
70,17404,367,2698,24554,3719,2605,1
75,48677,696,3722,24870,10603,7024,1
55,27388,449,441,10923,6408,4935,1
61,37115,477,5968,22091,6339,5425,1
31,22296,669,4488,11250,4913,2812,0
44,16271,374,3193,18388,3207,1936,0
20,37085,1909,0,0,10137,5243,1
55,47371,510,0,0,3782,8941,0
20,35948,474,3692,6051,9426,5794,1
71,33683,374,0,0,2674,6373,1
49,36408,341,3909,6886,22676,6776,1
72,31016,637,949,4783,25823,5870,0
21,25242,93,668,8486,4177,3686,1
26,19137,948,7294,13618,12706,2530,0
20,30138,628,1906,14447,9829,5319,1
56,26880,214,1131,8688,8053,3932,1
39,31414,868,949,5178,4930,4419,0
27,45522,521,32706,52295,8801,4754,1
44,49611,355,4258,10281,6181,8069,1
55,33243,535,0,0,10631,6266,0
21,28767,263,3474,7480,5497,4642,0
52,29483,1286,3267,16621,14808,4444,1
23,62181,875,295,8234,3039,10590,1
37,18387,317,3360,16575,7758,2380,1
30,37445,155,12245,15492,4963,6008,0
48,49950,332,0,0,3500,9910,1
43,40835,264,2034,12441,3098,8645,0
47,33229,693,1796,8230,6779,5366,1
44,32307,362,6126,16566,2944,5039,1
59,38580,312,14162,40664,11677,5352,0
41,73268,509,7913,31869,3156,12560,1
46,16938,423,1331,8888,6854,1476,1
50,18884,594,14886,23108,9698,787,0
47,31514,275,0,0,8981,5430,1
63,35971,95,0,0,3507,7435,1
36,37271,413,590,13706,5929,6175,0
65,29297,805,5652,26635,9264,5017,1
26,40294,297,4144,13064,5864,6084,0
72,40817,660,1638,7525,8443,7000,0
43,37622,345,4440,12915,13301,6523,1
25,16231,932,2099,4256,7554,2103,0
21,29102,789,3410,13652,6774,4969,1
46,43429,158,1163,10153,8573,7875,0
19,63299,1327,21231,47582,18157,7758,0
21,35518,108,3802,12073,8344,6827,1
30,40532,359,4334,16950,11702,6008,0
40,28354,170,0,0,4415,4101,1
23,12000,190,6617,21213,5794,2493,1
44,40357,179,0,0,4393,7106,0
43,32853,98,2287,20654,14361,5358,1
20,27588,317,0,0,5874,3495,1
37,25478,309,933,13389,5211,5017,1
50,35920,512,0,0,2437,6447,1
21,15200,190,0,0,10430,2328,1
36,14023,388,2733,11126,8394,2451,1
67,39050,611,0,0,7276,5516,1
36,17744,383,11793,31473,4711,1080,0
71,56631,902,2734,27112,7590,9744,1
31,31159,1217,5306,14108,13845,3826,1
74,45288,401,6558,23854,8701,6929,1
60,33391,412,7648,15282,8608,4548,1
24,34694,1258,0,0,6636,5218,0
74,41368,296,689,6671,9611,6706,1
71,25833,144,0,0,11276,3357,0
63,58372,312,1838,46035,6848,9189,1
61,54184,190,4959,8716,4923,8559,1
30,12794,535,4039,22118,7518,1368,1
28,31098,557,9713,48194,4201,2834,1
19,39592,607,7512,25714,7039,6319,0
50,85245,100,2858,12086,26835,15516,0
30,25761,828,1413,2560,3364,4264,1
70,46201,441,0,0,5910,8211,1
70,70809,986,2480,11748,5365,11655,1
37,46427,153,3334,9735,3262,7245,1
27,75664,252,5692,20702,4545,14020,1
33,32545,938,0,0,21714,5997,1
60,35509,138,4821,13960,2076,7966,1
68,22912,322,2025,4955,5026,3010,1
40,62957,263,0,0,10002,11408,0
26,22463,776,6024,36568,9881,2383,0
65,39558,957,530,9225,7560,5331,1
69,29902,475,2907,18249,4225,3079,1
38,24014,407,13507,29140,8118,2862,0
45,39248,252,1345,9831,7841,5517,0
24,19673,392,2225,14262,7051,2657,0
49,24268,69,3763,19393,14365,4411,1
24,36782,373,2669,4761,4021,5587,1
58,16933,687,7544,34052,5788,826,0
29,30655,1536,5723,16949,8981,3242,0
19,30522,229,1653,7052,4278,5326,0
33,32084,382,1137,20294,13637,5661,1
72,31707,711,3650,9243,6915,4466,1
21,45471,155,945,15690,5186,7085,1
22,37757,402,4111,20297,8272,7192,0
19,19061,65,5289,18059,8780,3805,1
73,33471,219,3147,29713,6333,5440,1
38,18963,652,217,6425,17395,3756,0
38,42744,258,12355,26378,11605,6201,0
23,44830,509,1432,21654,9308,7602,0
28,24886,167,1190,7392,6709,4568,0
33,19441,89,6118,7390,10970,1763,1
75,30042,113,9885,22680,18435,3892,1
20,12883,52,2779,19236,2773,2124,1
73,27938,1059,34994,46111,8359,763,1
54,56515,248,3515,12503,6297,9673,1
58,154547,345,12181,25412,15175,26087,1
61,20044,436,0,0,4671,3509,1
44,19609,1059,1041,14069,9120,3326,0
56,14040,419,9400,42828,8774,1157,1
18,33927,445,2897,18671,8318,6020,1
73,104359,744,6342,21659,15404,18877,1
46,49636,142,1089,7828,4090,9297,1
20,33649,102,9175,35986,5416,3903,1
69,48724,275,0,0,3913,9047,1
66,40645,261,1003,6883,10524,6617,1
57,28485,447,4661,7923,16723,3670,1
19,39055,443,9923,19120,5475,5088,1
44,24175,205,0,0,9868,3813,1
30,29078,203,11401,22273,2331,4461,1
22,48345,199,0,0,10685,8779,1
21,48638,625,14683,26678,12734,5810,0
58,40056,1456,0,0,6072,6249,1
22,51433,442,457,7299,4339,8513,1
27,39780,1265,0,0,6570,7342,1
49,19461,331,814,9685,21176,2601,1
